# HOUSING (CS)
House.DBHousePermissions.AccessLevel:			Úroveň přístupu {0}
House.Edit.NotEnoughMoney:				Nemáš dostatek peněz, abys to mohl provést!
House.Edit.PayForChanges:				Zaplať {0} za provedené změny.
House.Enter.EnteredHouse:				Vstoupil(a) jsi do domu číslo {0}.
House.Exit.LeftHouse:					Opustil(a) jsi dům číslo {0}.
House.SendHouseInfo.DoorMaterial:			-Dveře: {0}	
House.SendHouseInfo.ExteriorMaterials:			Venkovní materiály:
House.SendHouseInfo.ExteriorUpgrades:			Venkovní vylepšení:	
House.SendHouseInfo.HouseOwner:				Dům {0}
House.SendHouseInfo.IndoorGuildBanner:			-Prapory: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Štíty: {0}	
House.SendHouseInfo.InteriorCarpets:			Vnitřní koberce:	
House.SendHouseInfo.InteriorUpgrades:			Vnitřní vylepšení:	
House.SendHouseInfo.Level:					Úroveň: {0}
House.SendHouseInfo.Lockbox:					Trezor: {0}
House.SendHouseInfo.Lotnum:					Číslo parcely: {0}
House.SendHouseInfo.MaxLockbox:				Maximální kapacita v trezoru: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Prapory: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Štíty: {0}	
House.SendHouseInfo.Owner:					Vlastník: {0}
House.SendHouseInfo.Owners:					Vlastníci:
House.SendHouseInfo.Porch:					Veranda:
House.SendHouseInfo.PorchEnabled:				-Dostupná: {0}	
House.SendHouseInfo.PorchMaterial:				-Veranda: {0}	
House.SendHouseInfo.PorchRoofColor:				-Barva: {0}	
House.SendHouseInfo.RentalPrice:				Nájem: {0}	
House.SendHouseInfo.RentDueIn:				Splatnost za: {0} dní, {1} hodin
House.SendHouseInfo.RoofMaterial:				-Střecha: {0}	
House.SendHouseInfo.Rug1Color:					-Barva 1: {0}
House.SendHouseInfo.Rug2Color:					-Barva 2: {0}
House.SendHouseInfo.Rug3Color:					-Barva 3: {0}
House.SendHouseInfo.Rug4Color:					-Barva 4: {0}
House.SendHouseInfo.TrussMaterial:				-Vazníky: {0}	
House.SendHouseInfo.WallMaterial:				-Stěny: {0}	
House.SendHouseInfo.WindowMaterial:				-Okna: {0}	

HouseEnterLeave.TooFarAway:					Jsi příliš daleko na vstup do domu {0}.
HouseEnterLeave.CantEnter:					Do domu {0} nemůžeš vstoupit.

HousingDecorationRotate.Rotated:			Vnitřní předmět byl otočen z {0}° na {1}°.

# /HousingPlaceItemHandler
HousingPickupItemHandler.GardenRemoved:			Zahradní předmět odstraněn.
HousingPickupItemHandler.PickUp:				Vlož {0} do svého inventáře.
HousingPlaceItemHandler.30objects:				Už jsi umístil(a) 30 předmětů. Další už nelze.
HousingPlaceItemHandler.40objects:				Už jsi umístil(a) 40 předmětů. Další už nelze.
HousingPlaceItemHandler.CantFloor:				Tento předmět nelze umístit na podlahu!
HousingPlaceItemHandler.CantWall:				Tento předmět nelze umístit na stěnu!
HousingPlaceItemHandler.DropOnFloor:				Polož předmět {0} na podlahu svého domu.
HousingPlaceItemHandler.DropOnGarden:				Polož předmět {0} na svou zahradu.
HousingPlaceItemHandler.DropOnWall:				Připevni předmět {0} na stěnu svého domu.
HousingPlaceItemHandler.GardenObjectPlaced:			Zahradní předmět umístěn. Zbývá {0} míst.
HousingPlaceItemHandler.HasPorch:				Tento dům už má verandu!
HousingPlaceItemHandler.HasNoPorch:				Tento dům nemá verandu!
HousingPlaceItemHandler.IndoorObjectPlaced:			Vnitřní předmět umístěn. Zbývá {0} míst.
HousingPlaceItemHandler.NoHookpoint:				Žádný volný kotevní bod!
