# DelveInfo
DelveInfo.CastingTime:          Čas sesílání: {0}
DelveInfo.ConcentrationCost:    Náklady na soustředění: {0}
DelveInfo.Damage:               Poškození: {0}
DelveInfo.DamageType:           Typ poškození: {0}
DelveInfo.Duration:             Trvání: 
DelveInfo.Focus:                Kanálové kouzlo. Přeruší se při první akci.
DelveInfo.Frequency:            Frekvence: {0}
DelveInfo.HealthReturned:       Vrácené zdraví: {0}% z uděleného poškození
DelveInfo.InstrumentRequire:    Vyžadovaný nástroj: {0}
DelveInfo.PowerCost:            Náklady many: {0}
DelveInfo.HealthCost:           Náklady zdraví: {0}
DelveInfo.Radius:               Poloměr: {0}
DelveInfo.Range:                Dosah: {0}
DelveInfo.RangeModified:	    Dosah: {0} {1}
DelveInfo.RecastTime:           Obnovení: 
DelveInfo.Target:               Cíl: {0}
DelveInfo.Value:                Hodnota: {0}
DelveInfo.ValueNegative:        Hodnota: -{0}
DelveInfo.Destination:		    Cíl cesty: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Uděluje {0} {1} cíli.
SpellDescription.DoT.MainDescription:				Cíl utrpí {0} {1} každých {2} s.
SpellDescription.BoltSpell.MainDescription:			Magický šíp zasáhne a exploduje pro {0} {1}. Lze zablokovat.
SpellDescription.LifeDrain.MainDescription:			Uděluje {0} {1} a vyléčí sesílatele o {2}% uděleného poškození.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Uděluje {0} {1} a snižuje {2} cíle o {3}%.
SpellDescription.Nearsight.MainDescription1:		Snižuje efektivní dosah dálkových útoků cíle o {0}%.
SpellDescription.Nearsight.MainDescription2:		Kouzla krátkozrakosti zasahující sesílatelovu skupinu působí o {0}% méně účinně, případně mohou být zcela odolána.
SpellDescription.SpreadHeal.MainDescription:		Plošné léčení za {0}.
SpellDescription.RegenHeal.MainDescription:			Cíl regeneruje {0} dodatečných bodů zdraví.
SpellDescription.RegenPower.MainDescription:		Cíl regeneruje {0} dodatečných bodů many.
SpellDescription.RegenEndu.MainDescription:			Cíl regeneruje {0} dodatečných bodů výdrže.
SpellDescription.SpeedDecrease.MainDescription:		Snižuje rychlost cíle o {0}%.
SpellDescription.SpeedDecrease.Rooted:				Cíl je znehybněn.
SpellDescription.Slow.MainDescription:				Snižuje rychlost cíle o {0}%. Nevytváří imunitu a nepřerušuje se zásahy.
SpellDescription.Bladeturn.MainDescription:			Vytvoří „bublinu“, která pohltí poškození jednoho zásahu na blízko.
SpellDescription.Demi.MainDescription:				{0} sníží zdraví nepřítele na polovinu.
SpellDescription.Quarter.MainDescription:			{0} sníží zdraví nepřítele na čtvrtinu.
SpellDescription.DemiQuarter.AmnesiaDescription:	Neúčinkuje na slabé tvory ani na cíle nad úroveň {0}.
SpellDescription.DemiQuarter.EndDescription:		Toto kouzlo zřídka působí na duchy, démony, nekromanty, banshee a upíry.
SpellDescription.LifeTransfer.MainDescription:		Přenese {0} zdraví ze sesílatele na jeho cíl.
SpellDescription.Heal.MainDescription:				Vyléčí cíl o {0} zdraví.
SpellDescription.HealEnemy.MainDescription:			Vyléčí nepřítele o {0} zdraví při zásahu (proc).
SpellDescription.Disease.MainDescription:			Aplikuje nemoc, která zpomalí o {0}%, sníží sílu o {1}% a oslabí léčení o {2}%.
SpellDescription.Petrify.MainDescription:			Učiní cíl kamenem – promění ho ve sochu. Je paralyzován a pohlcuje 50% fyzického a 75% magického poškození, když je napadán.
SpellDescription.Unpetrify.MainDescription:			Odstraní stav „Petrifikován“ z cíle.
SpellDescription.HealDebuff.MainDescription:		Snižuje účinnost léčení o {0}%. Skládá se s „Nemocí“.
SpellDescription.DebuffImmunity.MainDescription:	Uděluje imunitu vůči oslabujícím efektům a +{0}% šanci odolat po dobu {1} s.
SpellDescription.MagicHealAbsorb.MainDescription:	Další magický útok proti tobě pohltí a převede {0}% poškození na léčení a {1}% na manu a výdrž.
SpellDescription.Trigger.MainDescription:			Aplikuje magický efekt (proc) jako posílení. {0} se spustí, když je cíl zasažen.
SpellDescription.WaterBreathing.MainDescription:	Umožní dýchat pod vodou a pohybovat se {0}% rychlosti na souši.
SpellDescription.TensionDebuff.MainDescription:		Snižuje přírůstky napětí cíle o {1}%.
SpellDescription.TensionBuff.MainDescription:		Zvyšuje přírůstky napětí cíle o {1}%.
SpellDescription.Teleport.MainDescription:			{0} teleportuje cíl do {1}.
SpellDescription.PlayerPortal.MainDescription:		Otevře jednorázový obousměrný portál napojený na návratový bod vyvolávače. Funguje v {0}.
SpellDescription.Earthquake.MainDescription1:		Vyvolá zemětřesení síly {0}, které udělí až {1} poškození u epicentra a klesá na {2} na okrajích.
SpellDescription.Earthquake.MainDescription2:		Nepůsobí na létající či plavající monstra, ani na vznášející se banshee či upíry.
SpellDescription.HoT.MainDescription:				Cíl získá {0} zdraví každých {1} s.
SpellDescription.DDWithDebuff.MainDescription:		Uděluje {0} {1} a snižuje odolnost cíle vůči {1} o {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Zvyšuje faktor zbroje a zdraví o {0}%, dokud stojíš v dosahu aury.
SpellDescription.AllStatsBuff.MainDescription:		Zvyšuje všechny atributy cíle o {0}.
SpellDescription.PowerDrain.MainDescription:		Uděluje {0} {1}; sesílatel získá {2}% poškození zpět jako manu.
SpellDescription.RealPowerDrain.MainDescription:	Uděluje {0} {1}; sesílatel získá {2}% jako manu a cíl ztratí {3}% své celkové many.
SpellDescription.PowerLock.MainDescription1:		Připoutá tebe i tvůj cíl na místě a vysává {0}% jeho základní many každých {1}s po dobu {2} s.
SpellDescription.PowerLock.MainDescription2:		Během efektu nikdo z vás nemůže utrpět poškození na blízko.
SpellDescription.PowerLock.MainDescription3:		Použitelné jen proti hráčům nebo hráčsky ovládaným mazlíčkům.
SpellDescription.Damnation.MainDescription1:		Cíl je proklet, mění se v zombie a ztrácí pozitivní efekty. Získá {0}% odolnost proti poškození na blízko, ale nevyhnutelně zemře po {1} s. Žádné léčení to nevrátí.
SpellDescription.Damnation.MainDescription2:		Léčení je drasticky sníženo na {0}%.
SpellDescription.Damnation.MainDescription3:		Léčení nemá na prokletého žádný účinek.
SpellDescription.Damnation.MainDescription4:		Léčení se z {0}% mění v poškození.
SpellDescription.Damnation.MainDescription5:		Neúčinkuje na nemrtvé.
SpellDescription.MonsterRez.MainDescription:		Vzkřísí jako nemrtvý a obnoví {0}% zdraví a {1}% many a výdrže bez ztráty zkušeností či konstituce.
SpellDescription.MonsterRez.DamageMain:				Uděluje {1} {0} cíli
SpellDescription.MonsterRez.DamageRadius:			a v jeho okolí
SpellDescription.MonsterRez.DamageFrequency:		každých {0} s
SpellDescription.MonsterRez.DamageDuration:			po dobu {0} s
SpellDescription.SummonMonster.MainDescription:		Vzkříšení z mrtvoly.
SpellDescription.DamageAdd.MainDescription:			Útoky na blízko cíle udělují navíc {0} {1}.
SpellDescription.DamageShield.MainDescription:		Uděluje {0} {1} nepřátelům, kteří tě zasáhnou na blízko.
SpellDescription.SpellReflection.MainDescription1:	Odrazí kouzla s {0}% šancí na {1}% poškození a pohltí {2}% způsobeného poškození.
SpellDescription.SpellReflection.MainDescription2:	Neodráží bojové styly ani střely lučištníků.
SpellDescription.SpellReflectionDebuff.MainDescription:		Odstraní magický odkláněcí štít cíle.
SpellDescription.PowerShield.MainDescription:		Pokud tvé zdraví klesne pod {0}%, převádí manu na zdraví až do {1}% tvého maxima.
SpellDescription.PowerTransfer.MainDescription:		Přenese {0} many ze sesílatele na cíl.
SpellDescription.Resurrect.MainDescription:			Vzkřísí a obnoví {0}% zdraví a {1}% many (a výdrže) bez ztráty zkušeností či konstituce.
SpellDescription.OffensiveProc.MainDescription:		{0} dává {1}% šanci spustit sekundární kouzlo tvými útoky na blízko:
SpellDescription.DefensiveProc.MainDescription:		{0} dává {1}% šanci spustit sekundární kouzlo, když jsi zasažen na blízko:
SpellDescription.SpeedEnhancement.MainDescription:	Zvyšuje rychlost na {0}% normálu.
SpellDescription.SpellShield.MainDescription:		{0} pohltí 100% magického poškození a 70% DoT poškození, když zdraví klesne na {1}% nebo méně.
SpellDescription.StyleBleeding.MainDescription:		Cíl utrpí {0} {1} každých {2} s.
SpellDescription.StyleTaunt.Increase:				Provokuje cíl a zvyšuje tvou hrozbu vůči němu o {0}.
SpellDescription.StyleTaunt.Decrease:				Snižuje provokaci a snižuje tvou hrozbu o -{0}.
SpellDescription.Taunt.MainDescription:				Provokuje cíl a zvyšuje tvou hrozbu o {0}.
