# SpellHandler (CS)
SpellHandler.CancelEffect:			Deaktivujete svůj efekt.
SpellHandler.PulsingSpellCancelled:		Váš kouzlo bylo deaktivováno.
SpellHandler.PulsingSpellNoMana:		Nemáte dost many a vaše kouzlo bylo deaktivováno.
SpellHandler.NoMoreMana:			Spotřebovali jste všechnu manu a nemůžete dál kouzlit!
SpellHandler.StopPlayingSong:			Přestáváte hrát svou melodii.
SpellHandler.TooFarStopPlayingSong:		Jste příliš daleko od cíle. Přestáváte hrát svou melodii.
SpellHandler.CasterMove:			Pohnete se a přerušíte sesílání!
SpellHandler.BeginCasting:			Začínáte sesílat kouzlo {0}!
SpellHandler.BeginPlaying:			Začínáte hrát {0}!
SpellHandler.SpellInterrupted:			{0} na vás útočí a vaše kouzlo je přerušeno!
SpellHandler.DamageImmunity:			{0} je vůči tomuto efektu imunní!
SpellHandler.Target.TooFast:			{0} se pohybuje příliš rychle, než aby toto kouzlo účinkovalo!
SpellHandler.DeadCantCast:			Jste mrtvý a nemůžete kouzlit!
SpellHandler.CantCastInSiegeram:			Nemůžete kouzlit uvnitř beranidla!
SpellHandler.SilencedCantCast:			Jste umlčen a dočasně nemůžete kouzlit.
SpellHandler.PhaseshiftedCantCast:		Jste pod efektem „Posun fáze“ a nemůžete kouzlit.
SpellHandler.PhaseshiftedCantBeAffected:	{0} je pod efektem „Posun fáze“ a nemůže být tímto kouzlem zasažen!
SpellHandler.OnlyWorksOnDead:			Toto kouzlo funguje pouze na padlé členy vašeho království!
SpellHandler.CantAttackSelf:			Nemůžete útočit sám na sebe!
SpellHandler.TargetNotInView:			Cíl není v dohledu!
SpellHandler.TargetNotInViewSpellFail:		Cíl je mimo vaše zorné pole. Kouzlo selhalo!
SpellHandler.TargetNotVisible:			Cíl není viditelný!
SpellHandler.TargetInvalid:			Neplatný cíl.
SpellHandler.MustSelectTarget:			Pro toto kouzlo musíte vybrat cíl!
SpellHandler.TargetTooFar:			Tento cíl je příliš daleko!
SpellHandler.AreaTargetOutOfRange:		Plošný cíl je mimo dosah. Zvolte bližší místo.
SpellHandler.MustCastOnControlled:		Toto kouzlo musíte seslat na tvora, kterého ovládáte.
SpellHandler.SpellRequiresConcentration:	Toto kouzlo vyžaduje {0} bodů soustředění!
SpellHandler.MaxConcentrationSpells:		Najednou můžete mít aktivních nejvýše 50 koncentračních kouzel!
SpellHandler.WrongInstrument:			Nemáte vybaven správný typ nástroje!
SpellHandler.CantCastWhileSitting:		Nemůžete kouzlit vsedě!
SpellHandler.CantCastWhileSitting2:		Toto kouzlo nemůžete seslat vsedě!
SpellHandler.CantCastWhileMoving:		Pro seslání tohoto kouzla musíte stát na místě!
SpellHandler.CantCastOnDead:			Toto kouzlo nelze seslat na mrtvého!
SpellHandler.MustWaitBeforeUse:			Musíte počkat {0} s, než můžete toto kouzlo znovu použít!
SpellHandler.InteruptWaitBeforeCast:		Byli jste přerušeni a musíte počkat {0} s, než můžete znovu kouzlit!
SpellHandler.NotEnoughPower:			Nemáte dost many k seslání tohoto kouzla!
SpellHandler.GroundTargetNotInView:		Pozemní cíl není v dohledu!
SpellHandler.OnlyWorksOnFriendlyTargets:	Toto kouzlo funguje jen na spojenecké cíle!
SpellHandler.LostFocusOnSpell:			Ztrácíte soustředění na své kouzlo {0}.
SpellHandler.InterruptFocus:			Pohnete se a přerušíte soustředění!
SpellHandler.YouResistEffect:			Odoláváte efektu!
SpellHandler.TargetResistsEffect:		{0} odolává efektu!
SpellHandler.PetResistsEffect:			Váš {0} odolává efektu!
SpellHandler.NoEffectOnKeepComponent:		Vaše kouzlo nemá účinek na část pevnosti!
