# DelveInfo
DelveInfo.CastingTime:					Zauberzeit: {0}
DelveInfo.ConcentrationCost:				Konzentrationsaufwand: {0} Punkte
DelveInfo.Damage:					Schaden: {0}
DelveInfo.DamageType:					Schadenstyp: {0}
DelveInfo.Duration:					Dauer: 
DelveInfo.Focus:					Dies ist ein fokusierter Zauberspruch und wird durch jede andere Aktion unterbrochen.
DelveInfo.Frequency:					Frequenz: {0}
DelveInfo.HealthReturned:				Trefferpunkte: {0}% des Schadens
DelveInfo.InstrumentRequire:				Instrument benödigt: {0}
DelveInfo.PowerCost:					Magiekraftkosten: {0}
DelveInfo.HealthCost:                   		Gesundheitskosten: {0}
DelveInfo.Radius:					Radius: {0}
DelveInfo.Range:					Reichweite: {0}
DelveInfo.RecastTime:					Wiederholungszeit:
DelveInfo.Target:					Ziel: {0}
DelveInfo.Value:					Wert: {0}
DelveInfo.ValueNegative:				Wert: -{0}
DelveInfo.Destination:					Zielort: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Fügt dem Ziel {0} {1} zu.
SpellDescription.DoT.MainDescription:				Das Ziel erleidet alle {2} Sekunden {0} {1}.
SpellDescription.BoltSpell.MainDescription:			Ein magisches Geschoss fliegt auf das Ziel zu, explodiert und verursacht {0} {1}. Kann geblockt werden.
SpellDescription.LifeDrain.MainDescription:			Der Zauber fügt dem Ziel {0} {1} zu und heilt den Angreifer um {2}% des verursachten Schadens.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Fügt {0} {1} zu und verringert {2} des Ziels um {3}%.
SpellDescription.Nearsight.MainDescription1:		Die effektive Reichweite der Fernangriffe des Ziels wird um {0}% reduziert.
SpellDescription.Nearsight.MainDescription2:		Zauber der Kurzsichtigkeit, die die Gruppe des Zaubernden betreffen, wirken mit {0}% geringerer Effektivität oder werden vollständig widerstanden.
SpellDescription.SpreadHeal.MainDescription:		Flächenheilung um {0}.
SpellDescription.RegenHeal.MainDescription:			Das Ziel regeneriert zusätzlich {0} Lebenspunkte.
SpellDescription.RegenPower.MainDescription:		Das Ziel regeneriert zusätzlich {0} Manapunkte.
SpellDescription.RegenEndu.MainDescription:			Das Ziel regeneriert zusätzlich {0} Ausdauerpunkte.
SpellDescription.SpeedDecrease.MainDescription:		Das Ziel wird um {0}% verlangsamt.
SpellDescription.SpeedDecrease.Rooted:				Das Ziel ist an Ort und Stelle festgewurzelt.
SpellDescription.Slow.MainDescription:				Das Ziel wird um {0}% verlangsamt. Es gibt keine Immunität gegen diesen Zauber und er kann nicht durch Treffer unterbrochen werden.
SpellDescription.Bladeturn.MainDescription:			Erzeugt eine „Blase“, die den Schaden eines einzelnen Nahkampftreffers absorbiert.
SpellDescription.Demi.MainDescription:				{0} halbiert die Lebenspunkte des Feindes.
SpellDescription.Quarter.MainDescription:			{0} reduziert die Lebenspunkte des Feindes auf ein Viertel.
SpellDescription.DemiQuarter.AmnesiaDescription:	Beeinflusst weder schwache Gegner noch solche über Stufe {0}.
SpellDescription.DemiQuarter.EndDescription:		Dieser Zauber wirkt selten auf Geister, Dämonen, Nekromanten, Banshees und Vampiire.
SpellDescription.LifeTransfer.MainDescription:		Überträgt {0} Lebenspunkte vom Zaubernden auf sein Ziel.
SpellDescription.Heal.MainDescription:				Das Ziel wird um {0} Lebenspunkte geheilt.
SpellDescription.HealEnemy.MainDescription:			Heilt euren Feind bei Treffer um {0} Lebenspunkte (durch Proc).
SpellDescription.Disease.MainDescription:			Belegt das Ziel mit einer schwächenden Krankheit, die es um {0}% verlangsamt, seine Stärke um {1}% reduziert und Heileffekte um {2}% hemmt.
SpellDescription.Petrify.MainDescription:			Versteinert das Ziel und verwandelt es in eine Statue. Das Ziel ist vollständig gelähmt und absorbiert 50% physischen und 75% magischen Schaden, den es im Falle eines Angriffs erleiden würde.
SpellDescription.Unpetrify.MainDescription:			Heilt das Ziel vom Zustand „Versteinert“.
SpellDescription.HealDebuff.MainDescription:		Verringert die Wirksamkeit von Heilungen um {0}%. Dieser Effekt kann sich mit „Krankheit“ stapeln.
SpellDescription.DebuffImmunity.MainDescription:	Gewährt Immunität gegen alle Schwächungszauber und erhöht die Widerstandschance um {0}% für {1} Sekunden.
SpellDescription.MagicHealAbsorb.MainDescription:	Der nächste magische Angriff gegen euch absorbiert und wandelt {0}% des Schadens in Heilung sowie {1}% in Mana und Ausdauer um.
SpellDescription.Trigger.MainDescription:			Erzeugt einen magischen Effekt (Proc) als Buff auf dem Ziel. {0} wird ausgelöst, wenn das Ziel getroffen wird.
SpellDescription.WaterBreathing.MainDescription:	Ermöglicht dem Ziel, unter Wasser zu atmen und sich mit {0}% seiner normalen Landgeschwindigkeit zu bewegen.
SpellDescription.TensionDebuff.MainDescription:		Verringert die Spannungsgewinne des Ziels um {1}%.
SpellDescription.TensionBuff.MainDescription:		Erhöht die Spannungsgewinne des Ziels um {1}%.
SpellDescription.Teleport.MainDescription:			{0} teleportiert das Ziel nach {1}.
SpellDescription.PlayerPortal.MainDescription:		Öffnet ein einmalig nutzbares Hin‑ und Rückreise‑Portal, das mit dem Rückrufpunkt seines Beschwörers verbunden ist. Funktioniert in {0}.
SpellDescription.Earthquake.MainDescription1:		Erschafft ein Erdbeben der Stärke {0} auf der Richterskala, das in der Nähe des Epizentrums bis zu {1} Schaden verursacht und an den entferntesten Punkten bis auf {2} Schaden abnimmt.
SpellDescription.Earthquake.MainDescription2:		Erdbeben betreffen keine fliegenden oder schwimmenden Monster, keine Banshees und keine schwebenden Vampiire.
SpellDescription.HoT.MainDescription:				Das Ziel regeneriert alle {1} Sekunden {0} Lebenspunkte.
SpellDescription.DDWithDebuff.MainDescription:		Verursacht {0} {1} und senkt die {1}-Resistenz des Ziels um {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Erhöht den Rüstungsfaktor und die Gesundheit des Ziels um {0}%, solange es sich innerhalb der Reichweite dieser Aura befindet.
SpellDescription.AllStatsBuff.MainDescription:		Erhöht alle Attribute des Ziels um {0}.
SpellDescription.PowerDrain.MainDescription:		Fügt dem Ziel {0} {1} zu; der Zaubernde erhält {2}% dieses Schadens als Mana zurück.
SpellDescription.RealPowerDrain.MainDescription:	Verursacht {0} {1} am Ziel, der Zaubernde erhält {2}% dieses Schadens als Mana zurück und das Ziel verliert {3}% seines gesamten Manas.
SpellDescription.PowerLock.MainDescription1:		Fixiert eure Zielperson und euch selbst am Platz und saugt alle {1}s für {2} Sekunden {0}% ihrer Grund‑Mana ab.
SpellDescription.PowerLock.MainDescription2:		Während der Dauer dieses Effekts können weder ihr noch euer Ziel Nahkampfschaden erleiden.
SpellDescription.PowerLock.MainDescription3:		Nur gegen Spieler oder von Spielern kontrollierte Begleiter einsetzbar.
SpellDescription.Damnation.MainDescription1:		Das Ziel ist verdammt, wird zum Zombie und verliert alle positiven Effekte. Es wird um {0}% widerstandsfähiger gegen Nahkampfangriffe, stirbt jedoch unweigerlich nach {1} Sekunden. Keine Heilung kann diesen Effekt umkehren.
SpellDescription.Damnation.MainDescription2:		Heilungen werden stark auf nur {0}% reduziert.
SpellDescription.Damnation.MainDescription3:		Heilungen haben auf das verdammte Ziel keinerlei Wirkung.
SpellDescription.Damnation.MainDescription4:		Heilungen werden zu {0}% in Schaden umgewandelt.
SpellDescription.Damnation.MainDescription5:		Untote Monster sind von diesem Zauber nicht betroffen.
SpellDescription.MonsterRez.MainDescription:		Belebt das Ziel als Untoten wieder und stellt {0}% seiner Gesundheit sowie {1}% seiner Mana und Ausdauer wieder her, ohne Erfahrungs‑ oder Konstitutionsverlust.
SpellDescription.MonsterRez.DamageMain:				Fügt dem Ziel {1} {0} zu
SpellDescription.MonsterRez.DamageRadius:			und seiner Umgebung
SpellDescription.MonsterRez.DamageFrequency:		alle {0} Sekunden
SpellDescription.MonsterRez.DamageDuration:			über eine Dauer von {0} Sekunden
SpellDescription.SummonMonster.MainDescription:		Leichenauferstehung.
SpellDescription.DamageAdd.MainDescription:			Die Nahkampfangriffe des Ziels verursachen zusätzlich {0} {1}.
SpellDescription.DamageShield.MainDescription:		Das Ziel verursacht {0} {1} an Gegnern, die es im Nahkampf treffen.
SpellDescription.SpellReflection.MainDescription1:	Leitet Zauber mit {0}% Chance und {1}% ihres ursprünglichen Schadens auf den Angreifer zurück und absorbiert dabei {2}% des verursachten Schadens.
SpellDescription.SpellReflection.MainDescription2:	Zauber des Nahkampfs und Bogenschützenzauber werden nicht reflektiert.
SpellDescription.SpellReflectionDebuff.MainDescription:		Entfernt den magischen Deflektionsschild des Ziels.
SpellDescription.PowerShield.MainDescription:		Fällt die Gesundheit des Nutzers unter {0}%, wird seine Mana in Lebenspunkte umgewandelt, bis {1}% seiner maximalen Gesundheit erreicht sind.
SpellDescription.PowerTransfer.MainDescription:		Überträgt {0} Manapunkte vom Zaubernden auf das Ziel.
SpellDescription.Resurrect.MainDescription:			Belebt das Ziel wieder und stellt {0}% seiner Gesundheit und {1}% seiner Mana (und Ausdauer) her, ohne Erfahrungs‑ oder Konstitutionsverlust.
SpellDescription.OffensiveProc.MainDescription:		{0} löst mit {1}% Chance einen Sekundärzauber bei euren Nahkampfangriffen aus:
SpellDescription.DefensiveProc.MainDescription:		{0} löst mit {1}% Chance einen Sekundärzauber aus, wenn ihr durch Nahkampfangriffe getroffen werdet:
SpellDescription.SpeedEnhancement.MainDescription:	Die Geschwindigkeit des Ziels wird auf {0}% seiner normalen Geschwindigkeit erhöht.
SpellDescription.SpellShield.MainDescription:		{0} absorbiert 100% magischen Schaden und 70% anhaltenden Schaden‑über‑Zeit (DoT), wenn die Gesundheit des Spielers auf {1}% oder weniger fällt.
SpellDescription.StyleBleeding.MainDescription:		Das Ziel erleidet alle {2} Sekunden {0} {1}.
SpellDescription.StyleTaunt.Increase:				Provoziert das Ziel und erhöht euer Bedrohungsniveau ihr gegenüber um {0}.
SpellDescription.StyleTaunt.Decrease:				Verringert die Provokation auf dem Ziel und reduziert euer Bedrohungsniveau um -{0}.
SpellDescription.Taunt.MainDescription:				Provoziert das Ziel und erhöht euer Bedrohungsniveau ihr gegenüber um {0}.
SpellDescription.SummonSpell.MainDescription:		Ruft einen Begleiter herbei, der dem Beschwörer dient. Wirkt auf Kreaturen bis zu {0}% eurer Stufe, mit einer maximalen Stufe von {1}.
