# SpellHandler (DE)
SpellHandler.CancelEffect:			Ihr beendet Euren Effekt.
SpellHandler.PulsingSpellCancelled:		Ihr Zauber wurde deaktiviert.
SpellHandler.PulsingSpellNoMana:		Sie haben nicht genug Mana und Ihr Zauber wurde deaktiviert.
SpellHandler.NoMoreMana:			Sie haben Ihr gesamtes Mana aufgebraucht und können keine Zauber mehr wirken!
SpellHandler.StopPlayingSong:			Ihr beendet Euer Lied.
SpellHandler.TooFarStopPlayingSong:		Sie sind zu weit vom Ziel entfernt. Sie hören auf, Ihre Melodie zu spielen.
SpellHandler.CasterMove:			Ihr bewegt Euch und unterbrecht damit Euren Zauberspruch!
SpellHandler.BeginCasting:			Sie beginnen, einen {0}-Zauber zu wirken!
SpellHandler.BeginPlaying:			Sie beginnen, {0} zu spielen!
SpellHandler.SpellInterrupted:			{0} greift Sie an und Ihr Zauber wird unterbrochen!
SpellHandler.DamageImmunity:			{0} ist gegen diesen Effekt immun!
SpellHandler.Target.TooFast:			{0} bewegt sich zu schnell, als dass dieser Zauber Wirkung zeigen könnte!
SpellHandler.DeadCantCast:			Sie sind tot und können keinen Zauber wirken!
SpellHandler.CantCastInSiegeram:			Sie können in einem Rammbock keinen Zauber wirken!
SpellHandler.SilencedCantCast:			Sie sind zum Schweigen gebracht und können derzeit keinen Zauber wirken.
SpellHandler.PhaseshiftedCantCast:		Sie befinden sich unter „Phasenverschiebung“ und können keinen Zauber wirken.
SpellHandler.PhaseshiftedCantBeAffected:	{0} befindet sich unter „Phasenverschiebung“ und kann von diesem Zauber nicht betroffen werden!
SpellHandler.OnlyWorksOnDead:			Dieser Zauber funktioniert nur auf gefallenen Mitgliedern Ihres Reiches!
SpellHandler.CantAttackSelf:			Sie können sich nicht selbst angreifen!
SpellHandler.TargetNotInView:			Ihr Ziel ist nicht in Sicht!
SpellHandler.TargetNotInViewSpellFail:		Ihr Ziel befindet sich außerhalb Ihres Sichtfeldes. Der Zauber schlägt fehl!
SpellHandler.TargetNotVisible:			Ihr Ziel ist nicht sichtbar!
SpellHandler.TargetInvalid:			Das Ziel ist ungültig.
