Commands.GM.TextNPC.Description:			TextNPC Commands:
Commands.GM.TextNPC.Usage.Create:		'/textnpc create [isRenaissance]' Create a new NPC. [isRenaissance] Check if the player is Reborn in order to allow the NPC to interact
Commands.GM.TextNPC.Usage.CreateMerchant:	'/textnpc createmerchant [isRenaissance]' Create a new Merchant who can talk to the player. [isRenaissance] Check if the player is Reborn in order to allow the merchant to interact
Commands.GM.TextNPC.Usage.CreateItemMerchant:	'/textnpc createitemmerchant' Create a new Merchant who can take items as exchange currency.
Commands.GM.TextNPC.Usage.CreateGuard:	'/textnpc createguard [isRenaissance]' Create a new Guard who can talk to the player. [isRenaissance] Check if the player is Reborn in order to allow the guard to interact
Commands.GM.TextNPC.Usage.Response:			'/textnpc reponse' Shows NPC's response (the first 20 letters of the response)
Commands.GM.TextNPC.Usage.Text:			'/textnpc text <text>' Set interact text (right click) (use the character | or ; to skip a line)
Commands.GM.TextNPC.Usage.Quest.Text:			'/textnpc questtext <questName(-goalId-)> <text>' Set interact text (right click) for specific quest or step (use the character | or ; to skip a line)
Commands.GM.TextNPC.Usage.Add:			'/textnpc add <response> <text>' Add or change the NPC's 'response' (use the character | or ; to skip a line)
Commands.GM.TextNPC.Usage.Remove:			'/textnpc remove <response>' Removes the response 'response'
Commands.GM.TextNPC.Usage.Emote.Add:			'/textnpc emote add <emote> <response>' To add an emote as a response
Commands.GM.TextNPC.Usage.Emote.Remove:		'/textnpc emote remove <response>' To remove an emote
Commands.GM.TextNPC.Usage.Emote.Help:			'/textnpc emote help' Display server's emotes list while selecting the NPC
Commands.GM.TextNPC.Usage.Spell.Add:			'/textnpc spell add <spellID> <reponse>' To add a spell effect as a Response
Commands.GM.TextNPC.Usage.Spell.Remove:		'/textnpc spell remove <reponse>' To remove a spell
Commands.GM.TextNPC.Usage.Spell.Help:		'/textnpc spell help' Display spell infos while selecting the NPC
Commands.GM.TextNPC.Usage.Spell.Cast:			'/textnpc spell cast <true/false> <reponse>' To add or remove a real spell cast (with damages) from a response
Commands.GM.TextNPC.Usage.Give.Item.Add:			'/textnpc giveitem add <itemTempalateId> <reponse>' To add a GiveItem  as a Response
Commands.GM.TextNPC.Usage.Give.Item.Remove:			'/textnpc giveitem remove <reponse>' To remove a GiveItem
Commands.GM.TextNPC.Usage.RandomPhrase.Add:		'/textnpc randomphrase add <emote (0=none)> <say/yell/em> <phrase>' To set up a random phrase the NPC will say from time to time with a specific interval, in association with an emote. This phrase can be <say/yell/em>
Commands.GM.TextNPC.Usage.RandomPhrase.Remove:		'/textnpc randomphrase remove <phrase>' To remove a random phrase
Commands.GM.TextNPC.Usage.RandomPhrase.interval:		'/textnpc randomphrase interval <interval in seconds>' Interval for the NPC to repeat a random phrase
Commands.GM.TextNPC.Usage.RandomPhrase.Help:		'/textnpc randomphrase help' Display some infos about random phrases on NPCs
Commands.GM.TextNPC.Usage.RandomPhrase.View:		'/textnpc randomphrase view' To see the random phrases on a specific NPC
Commands.GM.TextNPC.Usage.IsOutlawfriendly:		'/textnpc IsOutlawfriendly <true/false>' To set if textnpc should only talk to outlaw players
Commands.GM.TextNPC.Usage.IsRegularfriendly:		'/textnpc IsRegularfriendly <true/false>' To set if textnpc should only talk to normal reputation players
Commands.GM.TextNPC.Usage.Responsetrigger.Add:		'/textnpc Responsetrigger add <(questName-goalId-)reponse>' To add a trigger to a response or quest response
Commands.GM.TextNPC.Usage.Responsetrigger.Remove:		'/textnpc Responsetrigger remove <(questName-goalId-)reponse>' To remove a trigger from a response or quest response
