Commands.Players.Assist.Description:		Assist a target.
Commands.Players.Assist.CantAssistYourself:	You cannot assist yourself.
Commands.Players.Assist.DoesntHaveTarget:	{0} has currently no target.
Commands.Players.Assist.DontSee:			You don't see {0} around!
Commands.Players.Assist.MemberNotFound:		There is nobody with that name around.
Commands.Players.Assist.NoRealmMember:		{0} is not a member of your realm!
Commands.Players.Assist.NoTarget:			You don't have any target.
Commands.Players.Assist.NotValid:			The target is not valid.
Commands.Players.Assist.SelectMember:		You must select the member of your realm you wish to assist.
Commands.Players.Assist.Usage:				Usage : '/assist <playerName>'
Commands.Players.Assist.YouAssist:			You assist {0}.
