Commands.Players.Market.Description:	Spawn Temporary Consignment Merchant.
Commands.Players.Market.Usage:		Usage : '/market <command>'
Commands.Players.Market.Usage.Open:		Usage : '/market Open' # Opens the market
Commands.Players.Market.Usage.Close:		Usage : '/market <command>' # Closes the market
Commands.Players.Market.Usage.Name:		Usage : '/market <command>' # Renames the market
Commands.Players.Market.No.Ability:		You don't have the required "Trading" ability
Commands.Players.Market.No.SafeArea:		You have to be in a Safe Area
Commands.Players.Market.Confirm.Open:		Open your market
Commands.Players.Market.Confirm.Close:		Close your market
Commands.Players.Market.Closed:		        You're too far! Your market has been closed.

