GameUtils.Player.Statistics.Deathblows:					Deathblows: {0}
GameUtils.Player.Statistics.Deaths:						Deaths: {0}
GameUtils.Player.Statistics.Header:						Statistics for {0} this Session:
GameUtils.Player.Statistics.Healed:						HP healed: {0} and {1} RP gained from this heal
GameUtils.Player.Statistics.KillsperDeath:				Kills per death: {0}
GameUtils.Player.Statistics.KillsThatHaveEarnedRPs:		Kills that have earned RP: {0}
GameUtils.Player.Statistics.OnlineTime:					Online time: {0} hours, {1} minutes, {2} seconds
GameUtils.Player.Statistics.OnlineTimeDays:				Online time: {0} days, {1} hours, {2} minutes, {3} seconds
GameUtils.Player.Statistics.Options:						Options: /stats [ top | rp | kills | deathblows | irs | heal | rez | player <name|target> ]
GameUtils.Player.Statistics.PlayerIsAnon:					{0} doesn't want you to show his stats.
GameUtils.Player.Statistics.PlayerNotFound:				No player with name "{0}" found!
GameUtils.Player.Statistics.RealmPointsEarnedFromKills:	RP earned from kills: {0}
GameUtils.Player.Statistics.RemainStanding:				"I Remain Standing...": {0}
GameUtils.Player.Statistics.RessurectionsPerformed:		Resurrections performed: {0}
GameUtils.Player.Statistics.RPperHour:					RP/hour: {0}
GameUtils.Player.Statistics.RPperKill:					RP per kill: {0}
GameUtils.Player.Statistics.Top20Deathblows:				Top 20 Deathblows
GameUtils.Player.Statistics.Top20DeathblowsEntry:			{0}. {1} with {2} deathblows
GameUtils.Player.Statistics.Top20Healers:					Top 20 Healers
GameUtils.Player.Statistics.Top20HealersEntry:			{0}. {1} with {2} HP and {3} RP gained from heal
GameUtils.Player.Statistics.Top20IRS:						Top 20 "I remain standing"
GameUtils.Player.Statistics.Top20IRSEntry:				{0}. {1} with {2} RP/death
GameUtils.Player.Statistics.Top20Killers:					Top 20 Killers
GameUtils.Player.Statistics.Top20KillersEntry:			{0}. {1} with {2} kills
GameUtils.Player.Statistics.Top20Players:					Top 20 Players
GameUtils.Player.Statistics.Top20Resurrectors:			Top 20 Resurrectors
GameUtils.Player.Statistics.Top20ResurrectorsEntry:		{0}. {1} with {2} res
GameUtils.Player.Statistics.Top20RP:						Top 20 for Realm Points
GameUtils.Player.Statistics.Top20RPEntry:					{0}. {1} with {2} RP
GameUtils.Player.Statistics.Top20RPHour:					Top 20 for RP/hour
GameUtils.Player.Statistics.Top20RPHourEntry:				{0}. {1} with {2} RP/hour
GameUtils.Player.Statistics.TotalRP:						Total RP: {0}
GameUtils.Player.Statistics.NoPlayer:						No player with name '{0}' found!
GameUtils.Player.Statistics.Statsanon:					{0} doesn't want you to view his stats.
GameUtils.Player.Statistics.NoneFound:					None found!
GameUtils.Player.Statistics.Top20GeneralEntry:			{0} - [ {1} ] with {2} RP - [ {3}L{4} ]
