
# PLAYER STATISTICS
# /Kills
PlayerStatistic.Kill.Title:					Kill Report:
PlayerStatistic.Kill.AlbionPlayer:			Albion Players Killed
PlayerStatistic.Kill.HiberniaPlayer:		Hibernia Players Killed
PlayerStatistic.Kill.MidgardPlayer:			Midgard Players Killed
PlayerStatistic.Kill.TotalPlayers:			Total Players Killed

# /Deathblows
PlayerStatistic.Deathblows.AlbionPlayer:		Albion Deathblows
PlayerStatistic.Deathblows.HiberniaPlayer:		Hibernia Deathblows
PlayerStatistic.Deathblows.MidgardPlayer:		Midgard Deathblows
PlayerStatistic.Deathblows.TotalPlayers:		Total Deathblows

# /Solo
PlayerStatistic.Solo.AlbionPlayer:			Albion Solo Killed
PlayerStatistic.Solo.HiberniaPlayer:		Hibernia Solo Killed
PlayerStatistic.Solo.MidgardPlayer:			Midgard Solo Killed
PlayerStatistic.Solo.TotalPlayers:			Total Solo Killed

# /Capture
PlayerStatistic.Capture.Title:				Capture Report:
PlayerStatistic.Capture.Keeps:				Total Keeps Captured
PlayerStatistic.Capture.Towers:				Total Towers Captured

# /PvE
PlayerStatistic.PvE.Title:					PvE Report:
PlayerStatistic.PvE.KillsDragon:			Dragon Kills
PlayerStatistic.PvE.KillsEpic:				Epic Boss Kills
PlayerStatistic.PvE.KillsLegion:			Legion Kills

# /New Stats
PlayerStatistic.TitleNone:					None
PlayerStatistic.TitleAssigned:				Assigned Title
PlayerStatistic.TitleSpecialBonus:			Special Bonuses
PlayerStatistic.StatsPVP:					PvP Statistics:
PlayerStatistic.StatsRVR:					RvR Statistics:
PlayerStatistic.StatsGVG:					GvG Territories Statistics:
PlayerStatistic.StatsPVE:					PvE Statistics:
PlayerStatistic.StatsCrafting:				Crafting Statistics (lv.>{0}):
PlayerStatistic.StatsGreatAchievements:		Great Achievements:
PlayerStatistic.StatsSpecialAchievements:	Special Achievements:
PlayerStatistic.TotalCreaturesKilled:		Total Creatures killed
PlayerStatistic.TotalCraftPerformed:		Total Item created

# /Title bonuses
PlayerStatistic.Bonus.DemonslayerTitle:         +{0}% DPS in melee / +{1}% spell dmg / +{2}% All critical hit chance
PlayerStatistic.Bonus.TraderTitle:              {0:0.##}% discount with all merchants
PlayerStatistic.Bonus.ThiefTitle:               +{0}% Robbery Chance / -{1}% Robbery Cooldown
PlayerStatistic.Bonus.BountyhunterTitle:        +{0}% Robbery Resist / +{1}% Stealth Detection
PlayerStatistic.Bonus.WrathTitle:               +{0}% Tension Increase / -{1}% Tension lost on death
PlayerStatistic.Bonus.AdventurerTitle:          +{0}% Walking & swimming Max Speed / +{1}% Casting-Archery range
PlayerStatistic.Bonus.DuelistTitle:				+{0}% All critical hit chance
