

# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:					Acuity
SkillBase.RegisterPropertyNames.AcuityBonusCap:			Bonus cap to Acuity
SkillBase.RegisterPropertyNames.AllArcherySkills:		ALL archery skills
SkillBase.RegisterPropertyNames.AllDualWieldingSkills:	ALL dual wielding skills
SkillBase.RegisterPropertyNames.AllMagicSkills:			ALL magic skills
SkillBase.RegisterPropertyNames.AllMeleeWeaponSkills:	ALL melee weapon skills
SkillBase.RegisterPropertyNames.AllSkills:				All Skills
SkillBase.RegisterPropertyNames.ALLSpellLines:			ALL spell lines
SkillBase.RegisterPropertyNames.Arboreal:				Arboreal
SkillBase.RegisterPropertyNames.ArborealFocus:			Arboreal Focus
SkillBase.RegisterPropertyNames.Archery:				Archery
SkillBase.RegisterPropertyNames.ArcheryRange:			Archery Range
SkillBase.RegisterPropertyNames.ArcherySpeed:			Archery Speed
SkillBase.RegisterPropertyNames.ArrowRecovery:			Arrow Recovery
SkillBase.RegisterPropertyNames.Augmentation:			Augmentation
SkillBase.RegisterPropertyNames.AuraManipulation:		Aura Manipulation
SkillBase.RegisterPropertyNames.Axe:					Axe
SkillBase.RegisterPropertyNames.Battlesongs:			Battlesongs
SkillBase.RegisterPropertyNames.BeastCraft:				Beastcraft
SkillBase.RegisterPropertyNames.Blades:					Blades
SkillBase.RegisterPropertyNames.BladeturnReinforcement:	Bladeturn reinforcement (PvE Only)
SkillBase.RegisterPropertyNames.BlockChance:			Block chance
SkillBase.RegisterPropertyNames.Blunt:					Blunt
SkillBase.RegisterPropertyNames.Body:					Body Resist
SkillBase.RegisterPropertyNames.BodyMagic:				Body Magic
SkillBase.RegisterPropertyNames.BodyMagicFocus:			Body Magic Focus
SkillBase.RegisterPropertyNames.BoneArmy:				Bone Army
SkillBase.RegisterPropertyNames.BoneArmyFocus:			Bone Army Focus
SkillBase.RegisterPropertyNames.BonusToArmorAbsorption:	Bonus to armor absorption (ABS)
SkillBase.RegisterPropertyNames.BonusToArmorFactor:		Bonus to armor factor (AF)
SkillBase.RegisterPropertyNames.CastingSpeed:			Bonus to casting speed
SkillBase.RegisterPropertyNames.CaveMagic:				Cave Magic
SkillBase.RegisterPropertyNames.CelticDual:				Celtic Dual
SkillBase.RegisterPropertyNames.CelticSpear:			Celtic Spear
SkillBase.RegisterPropertyNames.Chants:					Chants
SkillBase.RegisterPropertyNames.Charisma:				Charisma
SkillBase.RegisterPropertyNames.CharismaBonusCap:		Bonus cap to Charisma
SkillBase.RegisterPropertyNames.Cold:					Cold Resist
SkillBase.RegisterPropertyNames.ColdMagic:				Cold Magic
SkillBase.RegisterPropertyNames.ColdMagicFocus:			Cold Magic Focus
SkillBase.RegisterPropertyNames.Composite:				Composite
SkillBase.RegisterPropertyNames.Concentration:			Concentration
SkillBase.RegisterPropertyNames.Constitution:			Constitution
SkillBase.RegisterPropertyNames.ConstitutionBonusCap:	Bonus cap to Constitution
SkillBase.RegisterPropertyNames.Creeping:				Creeping
SkillBase.RegisterPropertyNames.CreepingPathFocus:		Creeping Path Focus
SkillBase.RegisterPropertyNames.CriticalArcheryHit:		Bonus to critical archery hit chance
SkillBase.RegisterPropertyNames.CriticalMeleeHit:		Bonus to critical melee hit chance
SkillBase.RegisterPropertyNames.CriticalSpellHit:		Bonus to critical spell hit chance
SkillBase.RegisterPropertyNames.CriticalHealHit:		Bonus to critical heal hit chance
SkillBase.RegisterPropertyNames.CriticalStrike:			Critical Strike
SkillBase.RegisterPropertyNames.Crossbows:				Crossbows
SkillBase.RegisterPropertyNames.Crush:					Crush Resist
SkillBase.RegisterPropertyNames.Crushing:				Crushing
SkillBase.RegisterPropertyNames.Cursing:				Cursing
SkillBase.RegisterPropertyNames.CursingFocus:			Cursing Focus
SkillBase.RegisterPropertyNames.Darkness:				Darkness
SkillBase.RegisterPropertyNames.DarknessFocus:			Darkness Focus
SkillBase.RegisterPropertyNames.DeathServant:			Death Servant
SkillBase.RegisterPropertyNames.DeathservantFocus:		Deathservant Focus
SkillBase.RegisterPropertyNames.Deathsight:				Deathsight
SkillBase.RegisterPropertyNames.DeathsightFocus:		Deathsight Focus
SkillBase.RegisterPropertyNames.DebuffEffectivness:		Debuff Effectivness
SkillBase.RegisterPropertyNames.DefensiveBonus:			Defensive Bonus (PvE Only)
SkillBase.RegisterPropertyNames.Dementia:				Dementia
SkillBase.RegisterPropertyNames.Dexterity:				Dexterity
SkillBase.RegisterPropertyNames.DexterityBonusCap:		Bonus cap to Dexterity
