
# DelveInfo
DelveInfo.CastingTime:			Casting time: {0}
DelveInfo.ConcentrationCost:	Concentration cost: {0}
DelveInfo.Damage:				Damage: {0}
DelveInfo.DamageType:			Damage Type: {0}
DelveInfo.Duration:				Duration: 
DelveInfo.Focus:				This is a focus spell. Cancels if you do any action.
DelveInfo.Frequency:			Frequency: {0}
DelveInfo.HealthReturned:		Health returned: {0}% of damage(s) dealt
DelveInfo.InstrumentRequire:	Instrument required: {0}
DelveInfo.PowerCost:			Power cost: {0}
DelveInfo.HealthCost:			Health cost: {0}
DelveInfo.Radius:				Radius: {0}
DelveInfo.Range:				Range: {0}
DelveInfo.RangeModified:		Range: {0} {1}
DelveInfo.RecastTime:			Recast time: 
DelveInfo.Target:				Target: {0}
DelveInfo.Value:				Value: {0}
DelveInfo.ValueNegative:		Value: -{0}
DelveInfo.Destination:			Destination : {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Deals {0} {1} to the target.
SpellDescription.DoT.MainDescription:				Target takes {0} {1} every {2} seconds.
SpellDescription.BoltSpell.MainDescription:			A magical bolt shoots toward the target, exploding on impact for {0} {1}. Can be blocked.
SpellDescription.LifeDrain.MainDescription:			The target takes {0} {1} and the attacker is healed for {2}% of the damage dealt.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Does {0} {1} and decreases the target's {2} by {3}%.
SpellDescription.Nearsight.MainDescription1:		Target's effective range is reduced by {0}% for ranged attacks.
SpellDescription.Nearsight.MainDescription2:		Nearsight spells cast upon the caster's group are reduced in effectiveness by {0}%, or outright resisted.
SpellDescription.SpreadHeal.MainDescription:		Spreadheal for {0}.
SpellDescription.RegenHeal.MainDescription:			Target regenerates {0} extra health.
SpellDescription.RegenPower.MainDescription:		Target regenerates {0} extra power.
SpellDescription.RegenEndu.MainDescription:			Target regenerates {0} extra fatigue.
SpellDescription.SpeedDecrease.MainDescription:		The target is slowed by {0}%.
SpellDescription.SpeedDecrease.Rooted:				Target is rooted in place.
SpellDescription.Slow.MainDescription:				The target is slowed by {0}%. There's no immunity against this spell and it cannot be interrupted by hits.
SpellDescription.Bladeturn.MainDescription:			Creates a 'bubble' that absorbs the damage of a single melee hit.
SpellDescription.Demi.MainDescription:				{0} reduces enemy's life by half.
SpellDescription.Quarter.MainDescription:			{0} reduces enemy's life to a quarter.
SpellDescription.DemiQuarter.AmnesiaDescription:	It doesn't affect weak enemies or enemies having a level above {0}.
SpellDescription.DemiQuarter.EndDescription:		This spell has a lower chance to affect ghosts, demons, necromancers, bainshees, and vampiirs.
SpellDescription.LifeTransfer.MainDescription:		Transfers {0} health from the caster to the target.
SpellDescription.Heal.MainDescription:				The target regains {0} hit points.
SpellDescription.Disease.MainDescription:			Inflicts a wasting disease that slows the target by {0}%, reduces its strength by {1}% and inhibits healing by {2}%.
SpellDescription.Petrify.MainDescription:			Petrifies the target and turns it into a statue. The target is completely paralyzed and absorbs 50% of physical damage as well as 75% of magical damage it might suffer if attacked.
SpellDescription.Unpetrify.MainDescription:			Cures the target from Petrification.
SpellDescription.HealDebuff.MainDescription:		Reduces healing effectiveness by {0}%. Stacks with Disease effects.
SpellDescription.DebuffImmunity.MainDescription:	Grants immunity to all debuffs, increasing resist chance by {0}% for {1} seconds.
SpellDescription.MagicHealAbsorb.MainDescription:	The next magical attack done to you absorbs {0}% of damages dealt and heals you instead, {1}% will be converted into Power and Endurance.
SpellDescription.Trigger.MainDescription:			Generates a magical proc as a buff on the target. {0} is triggered when the target is hit.
SpellDescription.WaterBreathing.MainDescription:	Allows the target to breathe underwater and move at {0}% of normal land speed.
SpellDescription.TensionDebuff.MainDescription:		Decreases the target's {0} by {1}%.
SpellDescription.TensionBuff.MainDescription:		Increases the target's {0} by {1}%.
SpellDescription.Teleport.MainDescription:			{0} teleports the target to {1}.
SpellDescription.PlayerPortal.MainDescription:		Creates a two way, one use portal linked with bind point of the caster. The portal can be used by {0}.
SpellDescription.Earthquake.MainDescription1:		Creates an earthquake with an intensity of {0} on the Richter scale, causing up to {1} damage near the epicenter and decreasing to {2} damage at the farthest edges.
SpellDescription.Earthquake.MainDescription2:		Earthquakes do not affect flying mobs, swimming mobs, Bainshees, or floating Vampiirs.
SpellDescription.HoT.MainDescription:				The target regenerates {0} health every {1} seconds.
SpellDescription.DDWithDebuff.MainDescription:		Deals {0} {1} damage and reduces the target's {1} resistance by {2}%.
