# HOUSING (ES)
House.DBHousePermissions.AccessLevel:			Nivel de acceso {0}
House.Edit.NotEnoughMoney:				¡No tienes suficiente dinero para hacer eso!
House.Edit.PayForChanges:				Paga {0} por los cambios.
House.Enter.EnteredHouse:				Has entrado en la casa número {0}.
House.Exit.LeftHouse:					Has salido de la casa número {0}.
House.SendHouseInfo.DoorMaterial:			-Puerta: {0}	
House.SendHouseInfo.ExteriorMaterials:			Materiales exteriores:
House.SendHouseInfo.ExteriorUpgrades:			Mejoras exteriores:	
House.SendHouseInfo.HouseOwner:				Casa de {0}
House.SendHouseInfo.IndoorGuildBanner:			-Estandartes: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Escudos: {0}	
House.SendHouseInfo.InteriorCarpets:			Alfombras interiores:	
House.SendHouseInfo.InteriorUpgrades:			Mejoras interiores:	
House.SendHouseInfo.Level:					Nivel: {0}
House.SendHouseInfo.Lockbox:					Caja fuerte: {0}
House.SendHouseInfo.Lotnum:					Número de parcela: {0}
House.SendHouseInfo.MaxLockbox:				Capacidad máxima en caja: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Estandartes: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Escudos: {0}	
House.SendHouseInfo.Owner:					Propietario: {0}
House.SendHouseInfo.Owners:					Propietarios:
House.SendHouseInfo.Porch:					Porche:
House.SendHouseInfo.PorchEnabled:				-Disponible: {0}	
House.SendHouseInfo.PorchMaterial:				-Porche: {0}	
House.SendHouseInfo.PorchRoofColor:				-Color: {0}	
House.SendHouseInfo.RentalPrice:				Alquiler: {0}	
House.SendHouseInfo.RentDueIn:				Pago en: {0} días, {1} horas
House.SendHouseInfo.RoofMaterial:				-Techo: {0}	
House.SendHouseInfo.Rug1Color:					-Color 1: {0}
House.SendHouseInfo.Rug2Color:					-Color 2: {0}
House.SendHouseInfo.Rug3Color:					-Color 3: {0}
House.SendHouseInfo.Rug4Color:					-Color 4: {0}
House.SendHouseInfo.TrussMaterial:				-Cerchas: {0}	
House.SendHouseInfo.WallMaterial:				-Paredes: {0}	
House.SendHouseInfo.WindowMaterial:				-Ventanas: {0}	

HouseEnterLeave.TooFarAway:					Estás demasiado lejos para entrar en la casa {0}.
HouseEnterLeave.CantEnter:					No puedes entrar en la casa {0}.

HousingDecorationRotate.Rotated:			El objeto interior se ha girado de {0} grados a {1} grados.

# /HousingPlaceItemHandler
HousingPickupItemHandler.GardenRemoved:			Objeto de jardín retirado.
HousingPickupItemHandler.PickUp:				Pon {0} en tu inventario.
HousingPlaceItemHandler.30objects:				Ya has colocado 30 objetos. No puedes colocar más.
HousingPlaceItemHandler.40objects:				Ya has colocado 40 objetos. No puedes colocar más.
HousingPlaceItemHandler.CantFloor:				¡Este objeto no puede colocarse en el suelo!
HousingPlaceItemHandler.CantWall:				¡Este objeto no puede colocarse en una pared!
HousingPlaceItemHandler.DropOnFloor:				Deja el objeto {0} en el suelo de tu casa.
HousingPlaceItemHandler.DropOnGarden:				Deja el objeto {0} en tu jardín.
HousingPlaceItemHandler.DropOnWall:				Deja el objeto {0} en la pared de tu casa.
HousingPlaceItemHandler.GardenObjectPlaced:			Objeto de jardín colocado. Quedan {0} espacios.
