# DelveInfo
DelveInfo.CastingTime:          Tiempo de lanzamiento: {0}
DelveInfo.ConcentrationCost:    Coste de concentración: {0}
DelveInfo.Damage:               Daño: {0}
DelveInfo.DamageType:           Tipo de daño: {0}
DelveInfo.Duration:             Duración: 
DelveInfo.Focus:                Hechizo de canalización. Se interrumpe con la primera acción.
DelveInfo.Frequency:            Frecuencia: {0}
DelveInfo.HealthReturned:       Salud recuperada: {0}% del daño infligido
DelveInfo.InstrumentRequire:    Instrumento requerido: {0}
DelveInfo.PowerCost:            Coste de maná: {0}
DelveInfo.HealthCost:           Coste de salud: {0}
DelveInfo.Radius:               Radio: {0}
DelveInfo.Range:                Alcance: {0}
DelveInfo.RangeModified:	    Alcance: {0} {1}
DelveInfo.RecastTime:           Reutilización: 
DelveInfo.Target:               Objetivo: {0}
DelveInfo.Value:                Valor: {0}
DelveInfo.ValueNegative:        Valor: -{0}
DelveInfo.Destination:		    Destino: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Inflige {0} de {1} al objetivo.
SpellDescription.DoT.MainDescription:				El objetivo sufre {0} de {1} cada {2} s.
SpellDescription.BoltSpell.MainDescription:			Un proyectil mágico impacta y explota causando {0} de {1}. Puede ser bloqueado.
SpellDescription.LifeDrain.MainDescription:			Inflige {0} de {1} y cura al lanzador un {2}% del daño causado.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Inflige {0} de {1} y reduce {2} del objetivo un {3}%.
SpellDescription.Nearsight.MainDescription1:		Reduce el alcance efectivo de los ataques a distancia del objetivo en un {0}%.
SpellDescription.Nearsight.MainDescription2:		Los hechizos de miopía que afectan al grupo del lanzador actúan con un {0}% menos de eficacia o pueden ser resistidos por completo.
SpellDescription.SpreadHeal.MainDescription:		Cura de área por {0}.
SpellDescription.RegenHeal.MainDescription:			El objetivo regenera {0} puntos de salud adicionales.
SpellDescription.RegenPower.MainDescription:		El objetivo regenera {0} puntos de maná adicionales.
SpellDescription.RegenEndu.MainDescription:			El objetivo regenera {0} puntos de aguante adicionales.
SpellDescription.SpeedDecrease.MainDescription:		Reduce la velocidad del objetivo un {0}%.
SpellDescription.SpeedDecrease.Rooted:				El objetivo queda inmovilizado.
SpellDescription.Slow.MainDescription:				Reduce la velocidad del objetivo un {0}%. No genera inmunidad y no se interrumpe con golpes.
SpellDescription.Bladeturn.MainDescription:			Crea una “burbuja” que absorbe el daño de un golpe cuerpo a cuerpo.
SpellDescription.Demi.MainDescription:				{0} reduce la salud del enemigo a la mitad.
SpellDescription.Quarter.MainDescription:			{0} reduce la salud del enemigo a un cuarto.
SpellDescription.DemiQuarter.AmnesiaDescription:	No afecta a criaturas débiles ni a objetivos por encima del nivel {0}.
SpellDescription.DemiQuarter.EndDescription:		Este hechizo rara vez afecta a espíritus, demonios, nigromantes, banshees y vampiros.
SpellDescription.LifeTransfer.MainDescription:		Transfiere {0} puntos de salud del lanzador a su objetivo.
SpellDescription.Heal.MainDescription:				Cura {0} puntos de salud al objetivo.
SpellDescription.HealEnemy.MainDescription:			Cura a tu enemigo {0} puntos de salud al golpear (proc).
SpellDescription.Disease.MainDescription:			Aplica una enfermedad que ralentiza un {0}%, reduce la fuerza un {1}% y frena las curas un {2}%.
SpellDescription.Petrify.MainDescription:			Petrifica al objetivo convirtiéndolo en estatua. Queda paralizado y absorbe 50% del daño físico y 75% del daño mágico recibido mientras es atacado.
SpellDescription.Unpetrify.MainDescription:			Cura el estado de “Petrificado” del objetivo.
SpellDescription.HealDebuff.MainDescription:		Reduce la efectividad de las curas un {0}%. Se acumula con “Enfermedad”.
SpellDescription.DebuffImmunity.MainDescription:	Otorga inmunidad a debilitaciones y +{0}% de probabilidad de resistir durante {1} s.
SpellDescription.MagicHealAbsorb.MainDescription:	El próximo ataque mágico contra ti absorbe y convierte {0}% del daño en curación y {1}% en maná y aguante.
SpellDescription.Trigger.MainDescription:			Aplica un efecto mágico (proc) como mejora. {0} se dispara cuando el objetivo es golpeado.
SpellDescription.WaterBreathing.MainDescription:	Permite respirar bajo el agua y moverse al {0}% de la velocidad terrestre.
SpellDescription.TensionDebuff.MainDescription:		Reduce las ganancias de tensión del objetivo un {1}%.
SpellDescription.TensionBuff.MainDescription:		Aumenta las ganancias de tensión del objetivo un {1}%.
SpellDescription.Teleport.MainDescription:			{0} teletransporta al objetivo a {1}.
SpellDescription.PlayerPortal.MainDescription:		Abre un portal de ida y vuelta de un solo uso enlazado al punto de retorno de su invocador. Funciona en {0}.
SpellDescription.Earthquake.MainDescription1:		Crea un terremoto de magnitud {0} que causa hasta {1} de daño cerca del epicentro, decreciendo hasta {2} en los bordes.
SpellDescription.Earthquake.MainDescription2:		No afecta a monstruos voladores o nadadores, ni a banshees o vampiros flotantes.
SpellDescription.HoT.MainDescription:				El objetivo recupera {0} de salud cada {1} s.
SpellDescription.DDWithDebuff.MainDescription:		Inflige {0} de {1} y reduce la resistencia a {1} del objetivo un {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Aumenta el factor de armadura y la salud un {0}% mientras se permanezca en el radio del aura.
SpellDescription.AllStatsBuff.MainDescription:		Aumenta todos los atributos del objetivo en {0}.
SpellDescription.PowerDrain.MainDescription:		Inflige {0} de {1}; el lanzador recupera {2}% del daño como maná.
SpellDescription.RealPowerDrain.MainDescription:	Inflige {0} de {1}; el lanzador recupera {2}% como maná y el objetivo pierde {3}% de su maná total.
SpellDescription.PowerLock.MainDescription1:		Ancla a tu objetivo y a ti en el sitio, drenando {0}% de su maná base cada {1}s durante {2} s.
SpellDescription.PowerLock.MainDescription2:		Durante el efecto, ninguno de los dos puede recibir daño cuerpo a cuerpo.
SpellDescription.PowerLock.MainDescription3:		Solo usable contra jugadores o mascotas bajo control de jugadores.
SpellDescription.Damnation.MainDescription1:		El objetivo queda maldito, se vuelve zombi y pierde efectos positivos. Gana {0}% de resistencia a daño cuerpo a cuerpo pero morirá inevitablemente tras {1} s. Ninguna curación revierte esto.
SpellDescription.Damnation.MainDescription2:		Las curas se reducen drásticamente al {0}%.
SpellDescription.Damnation.MainDescription3:		Las curas no tienen efecto sobre el maldito.
SpellDescription.Damnation.MainDescription4:		Las curas se convierten en daño en un {0}%.
SpellDescription.Damnation.MainDescription5:		No afecta a no-muertos.
SpellDescription.MonsterRez.MainDescription:		Resucita como no‑muerto y restaura {0}% de salud y {1}% de maná y aguante sin pérdida de experiencia ni constitución.
SpellDescription.MonsterRez.DamageMain:				Inflige {1} de {0} al objetivo
SpellDescription.MonsterRez.DamageRadius:			y a su alrededor
SpellDescription.MonsterRez.DamageFrequency:		cada {0} s
SpellDescription.MonsterRez.DamageDuration:			durante {0} s
SpellDescription.SummonMonster.MainDescription:		Resurrección desde el cadáver.
SpellDescription.DamageAdd.MainDescription:			Los ataques cuerpo a cuerpo del objetivo infligen {0} de {1} adicional.
SpellDescription.DamageShield.MainDescription:		Inflige {0} de {1} a los enemigos que te golpeen en cuerpo a cuerpo.
SpellDescription.SpellReflection.MainDescription1:	Devuelve hechizos con un {0}% de probabilidad y al {1}% de su daño, absorbiendo {2}% del daño causado.
SpellDescription.SpellReflection.MainDescription2:	No refleja estilos cuerpo a cuerpo ni disparos de arqueros.
SpellDescription.SpellReflectionDebuff.MainDescription:		Elimina el escudo de desvío mágico del objetivo.
SpellDescription.PowerShield.MainDescription:		Si tu salud baja de {0}%, convierte maná en salud hasta alcanzar el {1}% de tu vida máxima.
SpellDescription.PowerTransfer.MainDescription:		Transfiere {0} puntos de maná del lanzador al objetivo.
SpellDescription.Resurrect.MainDescription:			Resucita y restaura {0}% de salud y {1}% de maná (y aguante) sin pérdida de experiencia ni constitución.
SpellDescription.OffensiveProc.MainDescription:		{0} otorga un {1}% de probabilidad de activar un hechizo secundario con tus ataques cuerpo a cuerpo:
SpellDescription.DefensiveProc.MainDescription:		{0} otorga un {1}% de probabilidad de activar un hechizo secundario cuando te golpean en cuerpo a cuerpo:
SpellDescription.SpeedEnhancement.MainDescription:	Aumenta la velocidad a {0}% de la normal.
SpellDescription.SpellShield.MainDescription:		{0} absorbe el 100% del daño mágico y el 70% del daño por DoT cuando la salud del jugador cae al {1}% o menos.
SpellDescription.StyleBleeding.MainDescription:		El objetivo sufre {0} de {1} cada {2} s.
SpellDescription.StyleTaunt.Increase:				Provoca al objetivo y sube tu amenaza contra él en {0}.
SpellDescription.StyleTaunt.Decrease:				Reduce la provocación y baja tu amenaza en -{0}.
SpellDescription.Taunt.MainDescription:				Provoca al objetivo y aumenta tu amenaza en {0}.
SpellDescription.SummonSpell.MainDescription:		Invoca una mascota que sirve al invocador. Afecta a criaturas hasta el {0}% de tu nivel, con nivel máximo {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Otorga un escudo temporal que absorbe el {0}% del daño físico hasta un máximo de {1}.
SpellDescription.MagicAblativeArmor.MainDescription:		Otorga un escudo temporal que absorbe el {0}% del daño mágico hasta un máximo de {1}.
SpellDescription.BothAblativeArmor.MainDescription:	Otorga un escudo temporal que absorbe el {0}% de todo daño hasta un máximo de {1}.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Aumenta la duración del Furia de Batalla un {0}%.
SpellDescription.TankAdrenaline.MainDescription:	¡La fiebre de batalla te consume! Tus golpes cuerpo a cuerpo no fallan contra enemigos de tu nivel y tu defensa y poder cuerpo a cuerpo aumentan mucho.
SpellDescription.MageAdrenaline.MainDescription:	¡La fiebre de batalla te consume! Tu defensa, probabilidad de impacto de hechizos y velocidad de lanzamiento aumentan mucho y no puedes ser interrumpido por golpes.
SpellDescription.StealthAdrenaline.MainDescription:	¡La fiebre de batalla te consume! Tus golpes cuerpo a cuerpo no fallan contra enemigos de tu nivel, y tu defensa, sigilo y potencia a distancia y cuerpo a cuerpo aumentan mucho.
SpellDescription.Amnesia.MainDescription:			Borra la mente del monstruo para que olvide a quién atacaba. Interrumpe los hechizos en curso de enemigos sin aturdir, salvo si resisten.
SpellDescription.Mesmerize.MainDescription:			El objetivo queda hipnotizado e incapaz de actuar.
SpellDescription.Stun.MainDescription:				Aturde al objetivo durante {0} s.
SpellDescription.Charm.MainDescription1:			Intento de dominar a una criatura {0}.
SpellDescription.Charm.MainDescription2:			Afecta a monstruos hasta el {0}% de tu nivel, con nivel máximo {1}.
SpellDescription.CombatHeal.MainDescription:		Cura {0} de daño cada {1} s.
SpellDescription.Confusion.MainDescriptionPositive:	La criatura tiene un {0}% de probabilidad de cambiar de objetivo.
SpellDescription.Confusion.MainDescriptionNegative:	Tiene 100% de probabilidad de cambiar de objetivo y 75% de atacar a un aliado.
SpellDescription.PetConversion.MainDescription:		Liberas al objetivo y a todas tus torretas en la zona. Recuperas el {0}% del maná gastado en invocar a la mascota.
SpellDescription.CraftingSpeedBuff.MainDescription:	Aumenta la velocidad de artesanía un {0}%.
SpellDescription.CureDisease.MainDescription:		Elimina todas las enfermedades del objetivo.
SpellDescription.CureMezz.MainDescription:			Elimina todos los efectos de hipnosis del objetivo.
SpellDescription.CureNearsight.MainDescription:		Elimina todos los efectos de miopía.
SpellDescription.CurePoison.MainDescription:		Elimina todos los efectos de daño en el tiempo (como venenos) del objetivo.
SpellDescription.DamageSpeedDecrease.MainDescription:		Reduce la velocidad del objetivo un {0}%. Inflige {1} de {2}.
SpellDescription.DamageToPower.MainDescription:		Convierte el {0}% del daño de hechizos recibido por el objetivo en maná.
SpellDescription.DeathClaw.MainDescription:			{0} reduce la salud del enemigo en 90%. No afecta a espíritus, criaturas débiles ni por encima del nivel {1}; efecto reducido en no‑muertos y jefes.
SpellDescription.EnduranceDrain.MainDescription:	Se drena un {0}% de aguante del objetivo y se transfiere al lanzador.
SpellDescription.EnduranceHeal.MainDescription:		Restaura {0} de aguante.
SpellDescription.Disarm.MainDescription1:			Desarma al objetivo durante {0} s.
SpellDescription.Disarm.MainDescription2:			No se puede volver a aplicar hasta pasados {0} s.
SpellDescription.GroundArea.MainDescription1:		Crea una “nube” que afecta a todos los presentes en el área.
SpellDescription.GroundArea.MainDescription2:		Efecto de área:
SpellDescription.CloudsongFall.MainDescription:		Reduce el daño por caída un {0}%.
SpellDescription.DoomHammer.MainDescription:		Inflige {0} de {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Inflige {0} de {1} en cada pulso al objetivo. Aumenta {2}% por pulso hasta {3}%. Coste {4}% de maná por pulso.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Inflige {0} de {1} por pulso y reduce {5}% la velocidad. Aumenta {2}% por pulso hasta {3}%. Coste {4}% de maná por pulso.
SpellDescription.RampingDamageFocus.AoENoSnare:				Inflige {0} de {1} por pulso en área. Aumenta {2}% por pulso hasta {3}%. Coste {4}% de maná por pulso.
SpellDescription.RampingDamageFocus.AoESnare:				Inflige {0} de {1} por pulso en área y reduce {5}% la velocidad. Aumenta {2}% por pulso hasta {3}%. Coste {4}% de maná por pulso.
SpellDescription.HereticPiercingMagic.MainDescription:		Aumenta la efectividad de los hechizos del objetivo un {0}%, reduciendo los resist completos contra enemigos de nivel superior.
SpellDescription.SummonNethersbane.MainDescription1:		Invoca Nethersbane, la hoja profana de Arawn.
SpellDescription.SummonNethersbane.MainDescription2:		Su tipo de daño es frío.
SpellDescription.SummonIcebrand.MainDescription1:			Invoca Icebrand, la hoja profana imbuida de sombras.
SpellDescription.SummonIcebrand.MainDescription2:			Su tipo de daño es frío.
SpellDescription.GoldenSpearJavelin.MainDescription:		Invoca 5 jabalinas mágicas.
SpellDescription.OmniHeal.MainDescription:					Devuelve {0}% de salud, aguante y maná.
SpellDescription.OmniHarm.MainDescription:					El objetivo pierde {0} de aguante y {1} de maná.
SpellDescription.OmniLifeDrain.MainDescription:				Inflige daño; devuelve al lanzador {0}% como salud, {1}% como maná y {2}% como aguante.
SpellDescription.PowerHeal.MainDescription:					Restaura el {0}% del maná del objetivo.
SpellDescription.Silence.MainDescription:					Enmudece al enemigo durante {0} s.
SpellDescription.IllusionSpell.MainDescription1:			El invocador crea {0} {1} ilusiones que lo rodean y confunden a los enemigos.
SpellDescription.IllusionSpell.MainDescription2:			Las ilusiones infligen el {0}% del daño del invocador, tienen el {1}% de su vida máxima y desaparecen tras {2} s.
SpellDescription.IllusionSpell.SubDescription1:				El invocador adopta la forma de una criatura y las {0} ilusiones comparten su apariencia.
SpellDescription.IllusionSpell.SubDescription2a:			Las ilusiones se mueven con el invocador e imitan sus movimientos, estilos y hechizos.
SpellDescription.IllusionSpell.SubDescription2b:			Si el lanzador se mueve, las ilusiones desaparecen y el hechizo termina.
SpellDescription.Bump.MainDescriptionSingle:		Lanza al enemigo {0} unidades hacia arriba y lo impulsa {1}%–{2}% de la distancia máxima, quedando aturdido en el aire.
SpellDescription.Bump.MainDescriptionArea:			Empuja a todos los enemigos en un radio de {3} unidades {0} hacia arriba y {1}%–{2}% hacia delante, quedando aturdidos en el aire.
SpellDescription.Bump.MainDescriptionCone:			Empuja a los enemigos en un cono {0} hacia arriba y {1}%–{2}% hacia delante, quedando aturdidos en el aire.
SpellDescription.Conversion.MainDescription:		Convierte el {0}% de todo daño recibido en salud, aguante y maná.
SpellDescription.MagicConversion.MainDescription:	Convierte el {0}% de todo daño mágico recibido en salud, aguante y maná.
SpellDescription.Fury.MainDescription:				Otorga {0}% de probabilidad de resistir control y aumenta todas las resistencias mágicas un {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Consume {0}% de tu salud y recupera {1}% del aguante perdido.
SpellDescription.Chamber.MainDescription:			Permite precargar una cámara con un hechizo primario y uno secundario para descargarlos inmediatamente sobre el objetivo.
SpellDescription.Chamber.CanContainBolts:			Puede contener proyectiles.
SpellDescription.Chamber.CannotContainBolts:		No puede contener proyectiles.
SpellDescription.FocusShell.MainDescription:		Reduce el daño cuerpo a cuerpo y de hechizos recibido un {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Solo usable en zonas RvR o PvP.
SpellDescription.Powerless.MainDescription:			Permite lanzar un hechizo secundario sin coste de maná.
SpellDescription.Range.MainDescription:				Permite lanzar un hechizo secundario con {0}% de alcance.
