Commands.GM.Coffre.Description:	Gestion des coffres
Commands.GM.Coffre.Usage.Create:		'/coffre create' crée un nouveau coffre (100% chance d'apparition, 1h d'intervalle entre les items)
Commands.GM.Coffre.Usage.Model:	'/coffre model <model>' change le skin du coffre selectionné
Commands.GM.Coffre.Usage.Item:		'/coffre item <chance> <interval>' change le nombre de chances d'apparition d'un item, interval d'apparition d'un item en minutes
Commands.GM.Coffre.Usage.Add:	'/coffre add <id_nb> <chance>' ajoute ou modifie un item (id_nb) avec son taux de chance d'apparition au coffre sélectionné
Commands.GM.Coffre.Usage.Remove:		'/coffre remove <id_nb>' retire un item (id_nb) du coffre sélectionné
Commands.GM.Coffre.Usage.Name:	'/coffre name <name>' change le nom du coffre sélectionné
Commands.GM.Coffre.Usage.Movehere:		'/coffre movehere' déplace le coffre sélectionné à votre position
Commands.GM.Coffre.Usage.Delete:	'/coffre delete' supprime le coffre sélectionné
Commands.GM.Coffre.Usage.Reset:		'/coffre reset' remet à zéro la dernière fois que le coffre a été ouvert
Commands.GM.Coffre.Usage.Info:	'/coffre info' donne toutes les informations du coffre sélectionné
Commands.GM.Coffre.Usage.Copy:		'/coffre copy' copie le coffre sélectionné à votre position
Commands.GM.Coffre.Usage.RandomCopy:	'/coffre randomcopy' copie le coffre sélectionné à votre position mais change les valeurs de plus ou moins 10%
Commands.GM.Coffre.Usage.Key:		'/coffre key <id_nb>' Id_nb de la clef nécessaire à l'ouverture du coffre (\"nokey\" pour retirer la clé)
Commands.GM.Coffre.Usage.Difficult:	'/coffre difficult <difficulté>' difficulté pour crocheter le coffre (en %) si 0, le coffre ne peut pas être crocheté
Commands.GM.Coffre.Usage.traprate:		'/coffre traprate <value>' Configure la valeur du TrapRate, qui est le pourcentage de faire pop un mob
Commands.GM.Coffre.Usage.NPCTemplate:	'/coffre npctemplate <value>' Configure le npctemplate associé au pop mob de ce coffre
Commands.GM.Coffre.Usage.Respawn:		'/coffre respawn <name>' Respawn un coffre en donnant son nom (reset du timer à 0)
Commands.GM.Coffre.Usage.IsTeleport:	'/coffre isteleporter' Alterne l'état IsTeleporter du coffre
