Commands.Players.Chatgroup.Chat:					[Chat]
Commands.Players.Chatgroup.Description:				Commandes de gestion de groupe de discussion:
Commands.Players.Chatgroup.Help.Help:			/cg help - Affiche toutes les commandes du groupe de discussion.
Commands.Players.Chatgroup.Help.Invite:			/cg invite <nom du joueur> - Invite le joueur spécifié à rejoindre le groupe de discussion.
Commands.Players.Chatgroup.Help.JoinPrivate:		/cg join <moderateur> <mot de passe> - Rejoindre un groupe de discussion protégé par un mot de passe.	
Commands.Players.Chatgroup.Help.JoinPublic:		/cg join <moderateur> - Rejoindre un groupe de discussion.
Commands.Players.Chatgroup.Help.Leader:			/cg leader <nom> - Promouvoir un autre joueur comme chef du groupe de discussion ; Ce joueur peut inviter d'autre joueurs à rejoindre le canal et peut parler quand le canal est en mode écoute.
Commands.Players.Chatgroup.Help.Leave:			/cg leave - Quitter le groupe de discussion.
Commands.Players.Chatgroup.Help.Listen:			/cg listen - Mettre le groupe de discussion en mode écoute ; seul le modérateur et les leads peuvent parler.
Commands.Players.Chatgroup.Help.PasswordClear:	/cg password clear - Efface le mot de passe actuel (modérateur uniquement).	
Commands.Players.Chatgroup.Help.PasswordDisplay:	/cg password - Affiche le mot de passe actuel (modérateur uniquement).	
Commands.Players.Chatgroup.Help.PasswordNew:		/cg password <nouveau mot de passe>	- Change le mot de passe actuel.
Commands.Players.Chatgroup.Help.Private:			/cg private - Définir le groupe de discussion comme étant privé.
Commands.Players.Chatgroup.Help.Public:			/cg public - Définir le groupe de discussion comme étant publique, tout le monde peut rejoindre.
Commands.Players.Chatgroup.Help.Remove:			/cg remove <nom du joueur> - Éjecte le joueur spécifié du groupe de discussion.
Commands.Players.Chatgroup.Help.Usage:			/cg usage :
Commands.Players.Chatgroup.Help.Who:				/cg who - Liste tous les membres du groupe de discussion.
Commands.Players.Chatgroup.InChatGroup:			Vous devez être dans un groupe de discussion pour utiliser cette commande.
Commands.Players.Chatgroup.InviteYourself:		Vous ne pouvez pas vous inviter vous-même dans un groupe de discussion.	
Commands.Players.Chatgroup.JoinChatGroup:		Voulez-vous rejoindre le groupe de discussion de {0} ?	
Commands.Players.Chatgroup.LeaderCommand:		Vous devez être le modérateur du groupe de discussion pour utiliser cette commande.	
Commands.Players.Chatgroup.LeaderInvite:			Vous devez être le modérateur du groupe de discussion pour inviter un joueur à le rejoindre.
Commands.Players.Chatgroup.ListenMode:			Le mode d'écoute du canal de discussion a changé.
Commands.Players.Chatgroup.Moderator:			{0} est maintenant modérateur du groupe de discussion.
Commands.Players.Chatgroup.NoPlayer:				Il n'y a pas de joueur de ce nom.
Commands.Players.Chatgroup.NotChatGroupLeader:	Ce joueur n'est pas modérateur d'un groupe de discussion.	
Commands.Players.Chatgroup.NotChatGroupMember:	Ce joueur n'est pas membre d'un groupe de discussion.	
Commands.Players.Chatgroup.NotPublic:			Ce groupe de discussion n'est pas publique.
Commands.Players.Chatgroup.OnlyModerator:		Seul le modérateur peut parler dans ce groupe de discussion.	
Commands.Players.Chatgroup.OwnChatGroup:			Vous ne pouvez pas rejoindre votre propre groupe de discussion.
Commands.Players.Chatgroup.PasswordChanged:		Nouveau mot de passe du groupe de discussion : {0}.	
Commands.Players.Chatgroup.PasswordClear:			Le mot de passe de ce groupe de discussion a été effacé.
Commands.Players.Chatgroup.Password:				Mot de passe de ce groupe de discussion : {0}.
Commands.Players.Chatgroup.PasswordUnset:			Le mot de passe de ce groupe de discussion n'a pas encore été configuré.
Commands.Players.Chatgroup.PlayerInChatgroup:	{0} est déjà membre d'un groupe de discussion.	
Commands.Players.Chatgroup.PrivateAlready:			Ceci est déjà un groupe de discussion privé.
Commands.Players.Chatgroup.Private:				Le groupe de discussion est maintenant privé.
Commands.Players.Chatgroup.PublicAlready:			Ceci est déjà un groupe de discussion public.
Commands.Players.Chatgroup.Public:				Le groupe de discussion est maintenant publique.
Commands.Players.Chatgroup.Usage.CG:				/cg <option>
Commands.Players.Chatgroup.UsageInvite:			Usage: /cg invite <nom du joueur>"
Commands.Players.Chatgroup.Usage:				Usage: /c <texte>
