# JAILMGR
GameJail.ReputNeg01:			Fugitif Hors-la-loi
GameJail.ReputNeg02:			Brigand
GameJail.ReputNeg03:			Lieutenant de l’Ombre
GameJail.ReputNeg04:			Machinateur
GameJail.ReputNeg05:			Souverain du Crime
GameJail.JailedRP:			Vous avez été mis en prison pour vos actes par {0}. Votre caution s'élève à {1} Or. Pour sortir, demandez à quelqu'un de payer votre caution à Stronghold, le gardien de la prison. Vous pouvez également demander de l'aide à votre guilde avec la commande "/gc jailrelease".
GameJail.JailedHRP:			Vous avez été mis en prison pour HRP par {0}. Vous devez attendre la fin de votre durée d'emprisonnement en temps réel pour sortir automatiquement.

# GEOLIER
GameJail.Interact.Prisoner:		Bonjour {0}, tu veux connaitre ta [peine] de prison ?!
GameJail.Interact.NonPrisoner:		Vous voulez aller en prison ?
GameJail.Reason:			Raison de la peine: {0}
GameJail.RPWait:			Attends le {0} vers {1}h ou demande à quelqu'un de payer ta caution.
GameJail.RPReason:			{0}
GameJail.NonRPWait:			Attends le {0} vers {1}h.

# PRISONGARDIAN
GameJail.PrisonGardian.GMMenuDeactivate:      (Menu GM) [Désactivation Gardien]
GameJail.PrisonGardian.FreePrisonersPart1:    Pour quelques pièces d'or, je peux libérer les prisonniers ...
GameJail.PrisonGardian.FreePrisonersPart2:    Voici la liste des prisonniers :
GameJail.PrisonGardian.PrisonerList:          [{0}] (Coût: {1} Or)
GameJail.PrisonGardian.NoPrisonersCurrently:  Désolé, il n'y a aucun prisonnier dans ce monde actuellement.
GameJail.PrisonGardian.NoPrisoners:           Il n'y a pas de prisonnier actuellement.
GameJail.PrisonGardian.WantToEnter:           Vous souhaitez y entrer, vous aussi ?
GameJail.PrisonGardian.GuardianActive:        Gardien actif.
GameJail.PrisonGardian.GuardianInactive:      Gardien inactif.
GameJail.PrisonGardian.PrisonerNotFound:      Ce prisonnier est introuvable.
GameJail.PrisonGardian.NotEnoughMoney:        Vous n'avez pas assez d'argent...
GameJail.PrisonGardian.PrisonerReleased:      Vous venez de libérer {0} pour {1} Or.
