GameUtils.Player.Statistics.Deathblows:					Coups mortels : {0}
GameUtils.Player.Statistics.Deaths:						Morts joueur : {0}
GameUtils.Player.Statistics.Header:						Statistiques pour {0} cette session :
GameUtils.Player.Statistics.Healed:						PV soignés : {0} et {1} RP gagnés grâce à ce soin
GameUtils.Player.Statistics.KillsperDeath:				Tués par mort : {0}
GameUtils.Player.Statistics.KillsThatHaveEarnedRPs:		Ennemis tués ayant rapporté des RP : {0}
GameUtils.Player.Statistics.OnlineTime:					Temps passé en ligne : {0} heures, {1} minutes, {2} secondes
GameUtils.Player.Statistics.OnlineTimeDays:				Temps passé en ligne : {0} heures, {1} minutes, {2} secondes
GameUtils.Player.Statistics.Options:						Options: /stats [ top | rp | kills | deathblows | irs | heal | rez | joueur <nom|cible> ]
GameUtils.Player.Statistics.PlayerIsAnon:					{0} ne veut pas que vous montriez ses statistiques.
GameUtils.Player.Statistics.PlayerNotFound:				Aucun joueur portant le nom "{0}" n'a été trouvé !
GameUtils.Player.Statistics.RealmPointsEarnedFromKills:	RP gagné par ennemi tué : {0}
GameUtils.Player.Statistics.RemainStanding:				"Je tiens debout...": {0}
GameUtils.Player.Statistics.RessurectionsPerformed:		Résurrections effectuées : {0}
GameUtils.Player.Statistics.RPperHour:					RP/heure: {0}
GameUtils.Player.Statistics.RPperKill:					RP par ennemi tué : {0}
GameUtils.Player.Statistics.Top20Deathblows:				Top 20 Coups mortels
GameUtils.Player.Statistics.Top20DeathblowsEntry:			{0}. {1} avec {2} coups mortels
GameUtils.Player.Statistics.Top20Healers:					Top 20 des guérisseurs
GameUtils.Player.Statistics.Top20HealersEntry:			{0}. {1} avec {2} PV et {3} RP gagnés grâce aux soins
GameUtils.Player.Statistics.Top20IRS:						Top 20 "Je reste immobile"
GameUtils.Player.Statistics.Top20IRSEntry:				{0}. {1} avec {2} RP/mort
GameUtils.Player.Statistics.Top20Killers:					Top 20 Tueurs
GameUtils.Player.Statistics.Top20KillersEntry:			{0}. {1} avec {2} ennemis tués
GameUtils.Player.Statistics.Top20Players:					Top 20 Joueurs
GameUtils.Player.Statistics.Top20Resurrectors:			Top 20 des meilleurs résurrecteurs
GameUtils.Player.Statistics.Top20ResurrectorsEntry:		{0}. {1} avec {2} res
GameUtils.Player.Statistics.Top20RP:						Top 20 des Points de Royaume
GameUtils.Player.Statistics.Top20RPEntry:					{0}. {1} avec {2} RP
GameUtils.Player.Statistics.Top20RPHour:					Top 20 des RP/heure
GameUtils.Player.Statistics.Top20RPHourEntry:				{0}. {1} avec {2} RP/heure
GameUtils.Player.Statistics.TotalRP:						Total RP: {0}
GameUtils.Player.Statistics.NoPlayer:						Aucun joueur portant le nom '{0}' n'a été trouvé !
GameUtils.Player.Statistics.Statsanon:					{0} ne veut pas que vous voyez ses statistiques.
GameUtils.Player.Statistics.NoneFound:					Aucun trouvé !
GameUtils.Player.Statistics.Top20GeneralEntry:			{0} - [ {1} ] avec {2} RP - [ {3}L{4} ]
