
# HOUSING
House.DBHousePermissions.AccessLevel:			Access level {0}
House.Edit.NotEnoughMoney:				Vous n'avez pas assez d'argent pour faire cela!
House.Edit.PayForChanges:				Vous payez {0} pour les modifications.
House.Enter.EnteredHouse:				Vous êtes entré dans la maison numéro {0}.
House.Exit.LeftHouse:					Vous avez quitté la maison numéro {0}.
House.SendHouseInfo.DoorMaterial:			-Porte: {0}	
House.SendHouseInfo.ExteriorMaterials:			Matériaux extérieurs:
House.SendHouseInfo.ExteriorUpgrades:			Améliorations extérieurs:	
House.SendHouseInfo.HouseOwner:				La maison de {0}
House.SendHouseInfo.IndoorGuildBanner:			-Bannières: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Boucliers: {0}	
House.SendHouseInfo.InteriorCarpets:			Tapis intérieur:	
House.SendHouseInfo.InteriorUpgrades:			Ajouts intérieur:	
House.SendHouseInfo.Level:				Niveau: {0}
House.SendHouseInfo.Lockbox:				Coffre: {0}
House.SendHouseInfo.Lotnum:				Numéro du lot: {0}
House.SendHouseInfo.MaxLockbox:				Max de place dans le coffre: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Bannières: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Boucliers: {0}	
House.SendHouseInfo.Owner:				Propriétaire: {0}
House.SendHouseInfo.Owners:				Propriétaires:
House.SendHouseInfo.Porch:				Porche: 
House.SendHouseInfo.PorchEnabled:			-Disponible: {0}	
House.SendHouseInfo.PorchMaterial:			-Porche: {0}	
House.SendHouseInfo.PorchRoofColor:			-Couleur: {0}	
House.SendHouseInfo.RentalPrice:			Loyer: {0}	
House.SendHouseInfo.RentDueIn:				Date du paiement : {0} jours, {1} heures
House.SendHouseInfo.RoofMaterial:			-Toit: {0}	
House.SendHouseInfo.Rug1Color:				-Couleur 1: {0}
House.SendHouseInfo.Rug2Color:				-Couleur 2: {0}
House.SendHouseInfo.Rug3Color:				-Couleur 3: {0}
House.SendHouseInfo.Rug4Color:				-Couleur 4: {0}
House.SendHouseInfo.TrussMaterial:			-Support: {0}	
House.SendHouseInfo.WallMaterial:			-Murs: {0}	
House.SendHouseInfo.WindowMaterial:			-Volets: {0}	

HouseEnterLeave.TooFarAway:					Vous êtes trop loin pour entrer dans la maison {0}.
HouseEnterLeave.CantEnter:					Vous ne pouvez pas entrer dans la maison {0}.

HousingDecorationRotate.Rotated:			Objet d'intérieur pivoté de {0} degrés à {1} degrés.

# /HousingPlaceItemHandler
Commands.Players.Housing.BadShieldBanner:			Ce n'est pas un objet ou une bannière valide.
Commands.Players.Housing.CantBeSold:				Cet objet ne peut être vendu !
Commands.Players.Housing.CarpetsRemoved:			Votre tapis a été retiré.
Commands.Players.Housing.ClearHookPoint:			Voulez vous retirer l'objet du point d'ancrage ?
Commands.Players.Housing.EnteredHouse:			Vous entrez dans la maison numéro {0}.
Commands.Players.Housing.GardenItemPlaced:		Objets du jardin placés. {0} places restante.
Commands.Players.Housing.GardenItemPlacedName:	Vous déposez l'objet {0} dans votre jardin.
Commands.Players.Housing.GardenMaxObjects:		Vous avez déposé un nombre de 30 objets dans votre jardin. Vous n'avez plus de place.
Commands.Players.Housing.GuildNowOwns:			[Guilde] {0} possède maintenant une maison de guilde de {1} !
Commands.Players.Housing.HookPointAdded:			Cet objet a été ajouté à votre maison.
Commands.Players.Housing.HookPointAlready:		Cet ancrage possède déjà un objet!
Commands.Players.Housing.HookPointCleared:		Le point d'ancrage est maintenant vide.
Commands.Players.Housing.HookPointCloser:			Tenez vous le plus près possible du lot désiré et appuyez sur "accepter".
Commands.Players.Housing.HookPointID:				L'id du point d'ancrage est : {0}
Commands.Players.Housing.HookPointLogged:			La position du point d'ancrage {0}!
Commands.Players.Housing.HookPointLogLoc:			Afficher les points d'ancrage ?
