
# LANGUAGEMGR
System.LanguagesName.EN:					Anglais
System.LanguagesName.FR:					Français
System.LanguagesName.DE:					Allemand
System.LanguagesName.ES:					Espagnol
System.LanguagesName.CZ:					Tchèque
System.LanguagesName.IT:					Italien

# Miscellaneous Language
Language.Hours.Short:								{0}h
Language.Minutes.Short:								{0}min
Language.Seconds.Short:								{0}s
Language.Hours.Long:								{0} heures
Language.Minutes.Short:								{0} minutes
Language.Seconds.Short:								{0} secondes
Language.NotApplicable:								N/A

Language.Time.Long:									0 secondes
Language.Time.LongH:                                {0:%h} heures
Language.Time.Longh:                                {0:%h} heure
Language.Time.LongHM:                               {0:%h} heures et {0:%m} minutes
Language.Time.LongHm:                               {0:%h} heures et {0:%m} minute
Language.Time.LonghM:                               {0:%h} heure et {0:%m} minutes
Language.Time.Longhm:                               {0:%h} heure et {0:%m} minute
Language.Time.LongHMS:                              {0:%h} heures, {0:%m} minutes et {0:%s} secondes
Language.Time.LongHMs:                              {0:%h} heures, {0:%m} minutes et {0:%s} seconde
Language.Time.LongHmS:                              {0:%h} heures, {0:%m} minute et {0:%s} secondes
Language.Time.LongHms:                              {0:%h} heures, {0:%m} minute et {0:%s} seconde
Language.Time.LonghMS:                              {0:%h} heure, {0:%m} minutes et {0:%s} secondes
Language.Time.LonghMs:                              {0:%h} heure, {0:%m} minutes et {0:%s} seconde
Language.Time.LonghmS:                              {0:%h} heure, {0:%m} minute et {0:%s} secondes
Language.Time.Longhms:                              {0:%h} heure, {0:%m} minute et {0:%s} seconde
Language.Time.LongM:                                {0:%m} minutes
Language.Time.Longm:                                {0:%m} minute
Language.Time.LongMS:                               {0:%m} minutes et {0:%s} secondes
Language.Time.LongMs:                               {0:%m} minutes et {0:%s} seconde
Language.Time.LongmS:                               {0:%m} minute et {0:%s} secondes
Language.Time.Longms:                               {0:%m} minute et {0:%s} seconde
Language.Time.LongS:                                {0:%s} secondes
Language.Time.Longs:                                {0:%s} seconde

Language.Mithril.Amount:                                   {0} Mithril
Language.Platinum.Amount:                                  {0} Platine
Language.Gold.Amount:                                      {0} Or
Language.Silver.Amount:                                    {0} Argent
Language.Copper.Amount:                                    {0} Cuivre

Language.Systems.Spell:							Sort

# Stats
Language.Resists:								Résistances
Language.DamageType.Natural.Noun:				Naturel
Language.DamageType.Crush.Noun:					Concassant
Language.DamageType.Slash.Noun:					Tranchant
Language.DamageType.Thrust.Noun:				Force
Language.DamageType.Body.Noun:					Corps
Language.DamageType.Cold.Noun:					Froid
Language.DamageType.Energy.Noun:				Énergie
Language.DamageType.Heat.Noun:					Chaleur
Language.DamageType.Matter.Noun:				Matière
Language.DamageType.Spirit.Noun:				Esprit
Language.DamageType.Falling.Noun:				Chute
Language.DamageType.GM.Noun:					Brut

Language.DamageType.Melee.Noun:					Tous Dommages de Mélée
Language.DamageType.Spell.Noun:					Tous Dommages de Sorts
Language.DamageType.DoT.Noun:					Dégâts des effets sur la durée

Language.DamageType.Natural.Damage:				dégâts naturels
Language.DamageType.Crush.Damage:				dégâts concassant
Language.DamageType.Slash.Damage:				dégâts tranchant
Language.DamageType.Thrust.Damage:				dégâts de force
Language.DamageType.Body.Damage:				dégâts de corps
Language.DamageType.Cold.Damage:				dégâts de froid
Language.DamageType.Energy.Damage:				dégâts d'énergie
Language.DamageType.Heat.Damage:				dégâts de chaleur
Language.DamageType.Matter.Damage:				dégâts de matière
Language.DamageType.Spirit.Damage:				dégâts d'esprit
Language.DamageType.Falling.Damage:				dégâts de chute
Language.DamageType.GM.Damage:					dégâts bruts

Language.DamageType.Melee.Damage:				dégâts de mélée
Language.DamageType.Spell.Damage:				dégâts des sorts
Language.DamageType.DoT.Damage:					dégâts sur la durée

Language.InternalError:							Une erreur serveur est survenue lors de l'éxécution de cette action ; veuillez contacter le staff du serveur.
