
# DelveInfo
DelveInfo.CastingTime:          Durée d'incantation : {0}
DelveInfo.ConcentrationCost:    Coût en concentration : {0}
DelveInfo.Damage:               Dommages : {0}
DelveInfo.DamageType:           Type de Dégats : {0}
DelveInfo.Duration:             Durée : 
DelveInfo.Focus:                Sort de type Focus. S'annule à la première action.
DelveInfo.Frequency:            Fréquence : {0}
DelveInfo.HealthReturned:       Vie retournée : {0}% des dommages
DelveInfo.InstrumentRequire:    Instrument requis : {0}
DelveInfo.PowerCost:            Coût en mana : {0}
DelveInfo.HealthCost:           Coût en vie : {0}
DelveInfo.Radius:               Rayon d'effet : {0}
DelveInfo.Range:                Portée : {0}
DelveInfo.RangeModified:	Portée : {0} {1}
DelveInfo.RecastTime:           Délai de réutilisation: 
DelveInfo.Target:               Cible : {0}
DelveInfo.Value:                Valeur : {0}
DelveInfo.ValueNegative:        Valeur : -{0}
DelveInfo.Destination:			Destination : {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Inflige {0} {1} à la cible.
SpellDescription.DoT.MainDescription:				La cible subit {0} {1} toutes les {2} secondes.
SpellDescription.BoltSpell.MainDescription:			Un projectile magique se dirige vers la cible, provoquant une explosion et infligeant {0} {1}. Peut être bloqué.
SpellDescription.LifeDrain.MainDescription:			Le sort inflige {0} {1} à la cible, soignant l'attaquant de {2}% des dégâts causés.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Inflige {0} {1} et réduit {2} de la cible de {3}%.
SpellDescription.Nearsight.MainDescription1:		La portée effective des attaques à distance de la cible est réduite de {0}%.
SpellDescription.Nearsight.MainDescription2:		Les sorts de vision réduite affectant le groupe du lanceur voient leur efficacité réduite de {0}%, ou sont totalement résistés.
SpellDescription.SpreadHeal.MainDescription:		Soin de zone pour {0}.
SpellDescription.RegenHeal.MainDescription:			La cible récupère {0} points de vie supplémentaires.
SpellDescription.RegenPower.MainDescription:		La cible récupère {0} points de mana supplémentaires.
SpellDescription.RegenEndu.MainDescription:			La cible récupère {0} points d'endurance supplémentaires.
SpellDescription.SpeedDecrease.MainDescription:		La cible est ralentie de {0}%.
SpellDescription.SpeedDecrease.Rooted:				La cible est immobilisée sur place.
SpellDescription.Slow.MainDescription:				La cible est ralentie de {0}%. Il n'y a aucune immunité contre ce sort et il ne peut pas être interrompu par des coups.
SpellDescription.Bladeturn.MainDescription:			Crée une « bulle » qui absorbe les dégâts d'un seul coup de mêlée.
SpellDescription.Demi.MainDescription:				{0} réduit la vie de l'ennemi de moitié.
SpellDescription.Quarter.MainDescription:			{0} réduit la vie de l'ennemi à un quart.
SpellDescription.DemiQuarter.AmnesiaDescription:	N'affecte pas les ennemis faibles ni ceux dont le niveau est supérieur à {0}.
SpellDescription.DemiQuarter.EndDescription:		Ce sort affecte rarement les fantômes, démons, nécromanciens, banshees et vampiirs.
SpellDescription.LifeTransfer.MainDescription:		Transfère {0} points de vie de l'incantateur vers sa cible.
SpellDescription.Heal.MainDescription:				La cible est soignée de {0} points de vie.
SpellDescription.Disease.MainDescription:			Inflige une maladie invalidante qui ralentit la cible de {0}%, réduisant sa force de {1}% et inhibant les effets de soins de {2}%.
SpellDescription.Petrify.MainDescription:			Pétrifie la cible et la transforme en statue. La cible est complètement paralysée et absorbe 50% des dégâts physiques ainsi que 75% des dégâts magiques qu'elle pourrait subir si elle est attaquée.
SpellDescription.Unpetrify.MainDescription:			Guérit la cible de l'état « pétrifié ».
SpellDescription.HealDebuff.MainDescription:		Réduit l'efficacité des soins de {0}%. L'effet de ce sort peut s'accumuler avec celui de « Maladie ».
SpellDescription.DebuffImmunity.MainDescription:	Accorde une immunité contre tous les sorts d'affaiblissement, augmentant les chances de résistance de {0}% pendant {1} secondes.
SpellDescription.MagicHealAbsorb.MainDescription:	La prochaine attaque magique contre vous absorbera et convertira {0}% des dégâts en soins, tandis que {1}% seront convertis en mana et en endurance.
SpellDescription.Trigger.MainDescription:			Génère un effet magique (proc) sous forme de buff sur la cible. {0} est déclenché lorsque la cible est frappée.
SpellDescription.WaterBreathing.MainDescription:	Permet à la cible de respirer sous l'eau et de se déplacer à {0}% de sa vitesse terrestre normale.
SpellDescription.TensionDebuff.MainDescription:		Réduit les gains en tension de la cible de {1}%.
SpellDescription.TensionBuff.MainDescription:		Augmente les gains en tension de la cible de {1}%.
SpellDescription.Teleport.MainDescription:			{0} téléporte la cible à {1}.
SpellDescription.PlayerPortal.MainDescription:		Ouvre un portail aller-retour à usage unique lié au point de rappel de son invocateur. Fonctionne en {0}.
SpellDescription.Earthquake.MainDescription1:		Crée un séisme d'une intensité de {0} sur l'échelle de Richter, infligeant jusqu'à {1} dégâts près de l'épicentre et diminuant jusqu'à {2} dégâts aux points les plus éloignés.
SpellDescription.Earthquake.MainDescription2:		Les séismes n'affectent pas les monstres volants, nageurs, les Banshees ni les Vampiirs flottants.
SpellDescription.HoT.MainDescription:				La cible régénère {0} points de vie toutes les {1} secondes.
SpellDescription.DDWithDebuff.MainDescription:		Inflige {0} dégâts de {1} et réduit la résistance {1} de la cible de {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Augmente le facteur d'armure et la santé de la cible de {0}% tant qu'elle reste dans la portée de cette aura.
SpellDescription.AllStatsBuff.MainDescription:		Augmente toutes les caractéristiques de la cible de {0}.
SpellDescription.PowerDrain.MainDescription:		Inflige {0} {1} à la cible, et l'invocateur du sort récupère {2}% de ces dégâts en puissance.
SpellDescription.RealPowerDrain.MainDescription:	Inflige {0} {1} à la cible, l'invocateur récupère {2}% de ces dégâts en puissance, et la cible perd {3}% de son mana total.
SpellDescription.PowerLock.MainDescription1:		Verrouille sur place votre cible et vous-même, aspirant {0}% de sa Mana de base toutes les {1}s pour {2} secondes.
SpellDescription.PowerLock.MainDescription2:		Pendant la durée de cet effet, ni vous ni votre cible ne pouvez subir de dégâts de mêlée.
SpellDescription.PowerLock.MainDescription3:		Utilisable uniquement contre des joueurs ou des familiers contrôlés par des joueurs.
SpellDescription.Damnation.MainDescription1:		La cible est condamnée, transformée en zombie et perd tous ses effets bénéfiques. Elle devient plus résistante aux attaques de mêlée de {0}% mais mourra inévitablement après {1} secondes. Aucune guérison ne peut inverser cet effet.
SpellDescription.Damnation.MainDescription2:		Les soins sont fortement réduits à seulement {0}%.
SpellDescription.Damnation.MainDescription3:		Les soins n'ont aucun effet sur la cible damnée.
SpellDescription.Damnation.MainDescription4:		Les soins sont convertis à {0}% en dégâts.
SpellDescription.Damnation.MainDescription5:		Les monstres de type morts-vivants ne sont pas affectés par ce sort.
SpellDescription.MonsterRez.MainDescription:		Ressuscite la cible sous la forme d'un mort-vivant, restaurant {0}% de sa santé et {1}% de sa puissance et endurance, sans causer de perte d'expérience ni de constitution.
SpellDescription.MonsterRez.DamageMain:				Inflige {1} {0} à la cible
SpellDescription.MonsterRez.DamageRadius:			et à son entourage
SpellDescription.MonsterRez.DamageFrequency:		toutes les {0} secondes
SpellDescription.MonsterRez.DamageDuration:			pendant une durée de {0} secondes
SpellDescription.SummonMonster.MainDescription:		Résurrection cadavérique.
SpellDescription.DamageAdd.MainDescription:			Les attaques de mêlée de la cible infligent {0} {1} supplémentaires.
SpellDescription.DamageShield.MainDescription:		La cible inflige {0} {1} aux ennemis qui la frappent au corps à corps.
SpellDescription.SpellReflection.MainDescription1:	{0} renvoie les sorts à l'attaquant avec {1}% de chances et à {2}% de leurs dégâts initiaux, tout en absorbant {3}% des dégâts infligés.
SpellDescription.SpellReflection.MainDescription2:	Les sorts de combat rapprochés et les sorts d'archerie ne sont pas renvoyés.
SpellDescription.SpellReflectionDebuff.MainDescription:		Supprime le bouclier de déflexion magique de la cible.
SpellDescription.PowerShield.MainDescription:		Lorsque la santé de l'utilisateur tombe en dessous de {0}%, sa puissance est convertie en points de vie jusqu'à atteindre {1}% de sa santé maximale.
SpellDescription.PowerTransfer.MainDescription:		Transfère {0} points de mana du lanceur vers la cible.
SpellDescription.Resurrect.MainDescription:			Ressuscite la cible, lui rendant {0}% de sa santé et {1}% de sa mana (et endurance), sans perte d'expérience ni de constitution.
SpellDescription.OffensiveProc.MainDescription:		{0} déclenche un sort secondaire avec {1}% de chance sur vos attaques de mêlée :
SpellDescription.DefensiveProc.MainDescription:		{0} déclenche un sort secondaire avec {1}% de chance lorsque vous êtes frappé par des attaques de mêlée :
SpellDescription.SpeedEnhancement.MainDescription:	La vitesse de la cible est augmentée à {0}% de sa vitesse normale.
SpellDescription.SpellShield.MainDescription:		{0} absorbe 100% des dégâts magiques et 70% des effets de dégâts répétés sur la durée (DoT) lorsque la santé du joueur descend à {1}% ou moins.
SpellDescription.StyleBleeding.MainDescription:		La cible subit {0} {1} toutes les {2} secondes.
SpellDescription.StyleTaunt.Increase:				Provoque la cible, augmentant votre niveau de menace contre elle de {0}.
SpellDescription.StyleTaunt.Decrease:				Réduit la provocation sur la cible, diminuant votre niveau de menace contre elle de -{0}.
SpellDescription.Taunt.MainDescription:				Provoque la cible, augmentant votre niveau de menace contre elle de {0}.
SpellDescription.SummonSpell.MainDescription:		Appelle un familier pour servir l'invocateur. Il peut affecter des créatures jusqu'à {0}% de votre niveau, avec un niveau maximal de {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		La cible obtient une réserve de vie temporaire qui absorbe {0}% des dégâts physiques infligés, jusqu'à un maximum de {1} dégâts.
SpellDescription.MagicAblativeArmor.MainDescription:		La cible obtient une réserve de vie temporaire qui absorbe {0}% des dégâts magiques infligés, jusqu'à un maximum de {1} dégâts.
SpellDescription.BothAblativeArmor.MainDescription:	La cible obtient une réserve de vie temporaire qui absorbe {0}% de tous les types de dégâts infligés, jusqu'à un maximum de {1} dégâts.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Augmente la durée de la Fièvre de Bataille de {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Vous êtes submergé par la fièvre de la bataille ! Vos attaques au corps à corps contre des ennemis de même niveau ne peuvent rater, et votre défense ainsi que votre puissance de mêlée sont grandement renforcées !
SpellDescription.MageAdrenaline.MainDescription:	Vous êtes submergé par la fièvre de la bataille ! Votre défense, vos chances de toucher avec vos sorts et leur vitesse d'incantation sont grandement améliorées, et vous ne pouvez plus être interrompu par les attaques !
SpellDescription.StealthAdrenaline.MainDescription:	Vous êtes submergé par la fièvre de la bataille ! Vos attaques au corps à corps contre des ennemis de même niveau ne peuvent rater, et votre défense, votre furtivité, ainsi que votre puissance en mêlée et à distance sont grandement renforcées !
SpellDescription.Amnesia.MainDescription:			Efface l'esprit du monstre, le faisant oublier qui il attaquait. Annule tous les sorts en cours d'incantation par des cibles ennemies, sans toutefois les interrompre, sauf en cas de résistance.
SpellDescription.Mesmerize.MainDescription:			La cible est hypnotisée et ne peut plus effectuer d'actions.
SpellDescription.Stun.MainDescription:				La cible est étourdie et ne peut plus effectuer d'actions pendant {0} secondes.
SpellDescription.Charm.MainDescription1:			Tente de prendre le contrôle d'une créature {0} ciblée pour le compte du charmeur.
SpellDescription.Charm.MainDescription2:			Affecte les monstres jusqu'à {0}% de votre niveau, avec un niveau maximum de {1}.
SpellDescription.CombatHeal.MainDescription:		La cible est soignée de {0} dégâts toutes les {1} secondes.
SpellDescription.Confusion.MainDescriptionPositive:	La créature ciblée a {0}% de chances de changer de cible.
SpellDescription.Confusion.MainDescriptionNegative:	La créature ciblée a 100% de chances de changer de cible et 75% de chances d'attaquer un allié.
SpellDescription.PetConversion.MainDescription:		Libère la cible et toutes les tourelles que vous avez invoquées dans la zone. {0}% de la mana utilisée pour invoquer le familier est restituée à l'invocateur.
SpellDescription.CraftingSpeedBuff.MainDescription:	Augmente la vitesse de fabrication d'objets de la cible de {0}%.
SpellDescription.CureDisease.MainDescription:		Tous les effets de maladie sont supprimés de la cible.
SpellDescription.CureMezz.MainDescription:			Tous les effets d'hypnose sont supprimés de la cible.
SpellDescription.CureNearsight.MainDescription:		Tous les effets de vision réduite sont supprimés de la cible.
SpellDescription.CurePoison.MainDescription:		Tous les effets de dégâts sur la durée (tels que les poisons) sont supprimés de la cible.
SpellDescription.DamageSpeedDecrease.MainDescription:		La cible est ralentie de {0}%. Inflige {1} dégâts de {2} à la cible.
SpellDescription.DamageToPower.MainDescription:		{0}% de tous les dégâts de sorts infligés à la cible sont convertis en puissance.
SpellDescription.DeathClaw.MainDescription:			{0} réduit la vie de l'ennemi de 90%. Cela n'affecte pas les fantômes, les ennemis faibles, ou les ennemis de niveau supérieur à {1}, et a un effet réduit sur les morts-vivants et les boss.
SpellDescription.EnduranceDrain.MainDescription:	{0}% d'endurance est volée à la cible et transférée au lanceur.
SpellDescription.EnduranceHeal.MainDescription:		Restaure {0} d'endurance.
SpellDescription.Disarm.MainDescription1:			Désarme votre cible pendant {0} secondes.
SpellDescription.Disarm.MainDescription2:			Cet effet ne peut être relancé qu'après {0} secondes une fois utilisé.
SpellDescription.GroundArea.MainDescription1:		Crée un « nuage » qui affecte toutes les personnes dans la zone.
SpellDescription.GroundArea.MainDescription2:		Effet de zone :
SpellDescription.CloudsongFall.MainDescription:		La cible subit {0}% de dégâts en moins lors d'une chute.
SpellDescription.DoomHammer.MainDescription:		Inflige {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Inflige {0} {1} à la cible à chaque pulsation. Les dégâts augmentent de {2}% à chaque pulsation, jusqu'à un maximum de {3}%. Coûte {4}% de mana par pulsation.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Inflige {0} {1} à la cible à chaque pulsation et réduit sa vitesse de déplacement de {5}%. Les dégâts augmentent de {2}% à chaque pulsation, jusqu'à un maximum de {3}%. Coûte {4}% de mana par pulsation.
SpellDescription.RampingDamageFocus.AoENoSnare:				Inflige {0} {1} dans la zone à chaque pulsation. Les dégâts augmentent de {2}% à chaque pulsation, jusqu'à un maximum de {3}%. Coûte {4}% de mana par pulsation.
SpellDescription.RampingDamageFocus.AoESnare:				Inflige {0} {1} dans la zone à chaque pulsation et réduit la vitesse de déplacement de {5}%. Les dégâts augmentent de {2}% à chaque pulsation, jusqu'à un maximum de {3}%. Coûte {4}% de mana par pulsation.
SpellDescription.HereticPiercingMagic.MainDescription:		L'efficacité des sorts de la cible est augmentée de {0}%. Cela devrait permettre de réduire les risques d'une résistance complète contre des adversaires de plus haut niveau que la cible.
SpellDescription.SummonNethersbane.MainDescription1:		Invoque Nethersbane, la lame maléfique utilisée par Arawn.
SpellDescription.SummonNethersbane.MainDescription2:		Le type de dégâts de Nethersbane est Froid.
SpellDescription.SummonIcebrand.MainDescription1:			Invoque Icebrand, la lame maléfique imprégnée par l'Ombre.
SpellDescription.SummonIcebrand.MainDescription2:			Le type de dégâts d'Icebrand est Froid.
SpellDescription.GoldenSpearJavelin.MainDescription:		Invoque 5 javelots magiques.
SpellDescription.OmniHeal.MainDescription:					La cible récupère {0}% de points de vie, d'endurance et de mana.
