# LANGUAGEMGR (IT)
System.LanguagesName.EN:				Inglese
System.LanguagesName.FR:				Francese
System.LanguagesName.DE:				Tedesco
System.LanguagesName.ES:				Spagnolo
System.LanguagesName.CZ:				Ceco
System.LanguagesName.IT:				Italiano

# Miscellaneous Language
Language.Hours.Short:					{0}h
Language.Minutes.Short:					{0}min
Language.Seconds.Short:					{0}s
Language.Hours.Long:						{0} ore
Language.Minutes.Short:					{0} minuti
Language.Seconds.Short:					{0} secondi
Language.NotApplicable:					N/D

Language.Time.Long:						0 secondi
Language.Time.LongH:						{0:%h} ore
Language.Time.Longh:						{0:%h} ora
Language.Time.LongHM:					{0:%h} ore e {0:%m} minuti
Language.Time.LongHm:					{0:%h} ore e {0:%m} minuto
Language.Time.LonghM:					{0:%h} ora e {0:%m} minuti
Language.Time.Longhm:					{0:%h} ora e {0:%m} minuto
Language.Time.LongHMS:					{0:%h} ore, {0:%m} minuti e {0:%s} secondi
Language.Time.LongHMs:					{0:%h} ore, {0:%m} minuti e {0:%s} secondo
Language.Time.LongHmS:					{0:%h} ore, {0:%m} minuto e {0:%s} secondi
Language.Time.LongHms:					{0:%h} ore, {0:%m} minuto e {0:%s} secondo
Language.Time.LonghMS:					{0:%h} ora, {0:%m} minuti e {0:%s} secondi
Language.Time.LonghMs:					{0:%h} ora, {0:%m} minuti e {0:%s} secondo
Language.Time.LonghmS:					{0:%h} ora, {0:%m} minuto e {0:%s} secondi
Language.Time.Longhms:					{0:%h} ora, {0:%m} minuto e {0:%s} secondo
Language.Time.LongM:						{0:%m} minuti
Language.Time.Longm:						{0:%m} minuto
Language.Time.LongMS:					{0:%m} minuti e {0:%s} secondi
Language.Time.LongMs:					{0:%m} minuti e {0:%s} secondo
Language.Time.LongmS:					{0:%m} minuto e {0:%s} secondi
Language.Time.Longms:					{0:%m} minuto e {0:%s} secondo
Language.Time.LongS:						{0:%s} secondi
Language.Time.Longs:						{0:%s} secondo

Language.Mithril.Amount:					{0} Mithril
Language.Platinum.Amount:					{0} Platino
Language.Gold.Amount:						{0} Oro
Language.Silver.Amount:						{0} Argento
Language.Copper.Amount:						{0} Rame

Language.Systems.Spell:					Incantesimo

# Stats
Language.Resists:						Resistenze
Language.DamageType.Natural.Noun:			Naturale
Language.DamageType.Crush.Noun:				Contundente
Language.DamageType.Slash.Noun:				Taglio
Language.DamageType.Thrust.Noun:			Perforazione
Language.DamageType.Body.Noun:				Corpo
Language.DamageType.Cold.Noun:				Freddo
Language.DamageType.Energy.Noun:			Energia
Language.DamageType.Heat.Noun:				Calore
Language.DamageType.Matter.Noun:			Materia
Language.DamageType.Spirit.Noun:			Spirito
Language.DamageType.Falling.Noun:			Caduta
Language.DamageType.GM.Noun:				Grezzo

Language.DamageType.Melee.Noun:				Tutti i danni in mischia
Language.DamageType.Spell.Noun:				Tutti i danni da incantesimi
Language.DamageType.DoT.Noun:				Danno nel tempo

Language.DamageType.Natural.Damage:			danni naturali
Language.DamageType.Crush.Damage:			danni contundenti
Language.DamageType.Slash.Damage:			danni da taglio
Language.DamageType.Thrust.Damage:			danni da perforazione
Language.DamageType.Body.Damage:			danni al corpo
Language.DamageType.Cold.Damage:			danni da freddo
Language.DamageType.Energy.Damage:			danni da energia
Language.DamageType.Heat.Damage:			danni da calore
Language.DamageType.Matter.Damage:			danni da materia
Language.DamageType.Spirit.Damage:			danni da spirito
Language.DamageType.Falling.Damage:			danni da caduta
Language.DamageType.GM.Damage:				danni grezzi

Language.DamageType.Melee.Damage:			danni in mischia
Language.DamageType.Spell.Damage:			danni da incantesimi
Language.DamageType.DoT.Damage:				danni nel tempo

# Target
Language.SpellTarget.Realm:					reame
Language.SpellTarget.Self:					se stesso
Language.SpellTarget.Enemy:					nemico
Language.SpellTarget.Pet:						famiglio
Language.SpellTarget.Group:					gruppo
Language.SpellTarget.Area:					zona
Language.SpellTarget.Corpse:					cadavere
Language.SpellTarget.Unknown:					bersaglio sconosciuto

Language.InternalError:						Si è verificato un errore del server durante l'esecuzione di questa azione; contatta lo staff del server.
