# DelveInfo
DelveInfo.CastingTime:          Tempo di lancio: {0}
DelveInfo.ConcentrationCost:    Costo concentrazione: {0}
DelveInfo.Damage:               Danno: {0}
DelveInfo.DamageType:           Tipo di danno: {0}
DelveInfo.Duration:             Durata: 
DelveInfo.Focus:                Incanalamento. Si interrompe alla prima azione.
DelveInfo.Frequency:            Frequenza: {0}
DelveInfo.HealthReturned:       Salute recuperata: {0}% del danno inflitto
DelveInfo.InstrumentRequire:    Strumento richiesto: {0}
DelveInfo.PowerCost:            Costo mana: {0}
DelveInfo.HealthCost:           Costo salute: {0}
DelveInfo.Radius:               Raggio: {0}
DelveInfo.Range:                Portata: {0}
DelveInfo.RangeModified:	    Portata: {0} {1}
DelveInfo.RecastTime:           Riuso: 
DelveInfo.Target:               Bersaglio: {0}
DelveInfo.Value:                Valore: {0}
DelveInfo.ValueNegative:        Valore: -{0}
DelveInfo.Destination:		    Destinazione: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Infligge {0} {1} al bersaglio.
SpellDescription.DoT.MainDescription:				Il bersaglio subisce {0} {1} ogni {2} s.
SpellDescription.BoltSpell.MainDescription:			Un dardo magico colpisce ed esplode causando {0} {1}. Può essere bloccato.
SpellDescription.LifeDrain.MainDescription:			Infligge {0} {1} e cura il lanciatore del {2}% del danno.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Infligge {0} {1} e riduce {2} del bersaglio del {3}%.
SpellDescription.Nearsight.MainDescription1:		Riduce la portata effettiva degli attacchi a distanza del bersaglio del {0}%.
SpellDescription.Nearsight.MainDescription2:		Le magie di miopia che colpiscono il gruppo del lanciatore agiscono con efficacia ridotta del {0}% o possono essere completamente resistite.
SpellDescription.SpreadHeal.MainDescription:		Cura ad area di {0}.
SpellDescription.RegenHeal.MainDescription:			Il bersaglio rigenera {0} punti salute aggiuntivi.
SpellDescription.RegenPower.MainDescription:		Il bersaglio rigenera {0} punti mana aggiuntivi.
SpellDescription.RegenEndu.MainDescription:			Il bersaglio rigenera {0} punti vigore aggiuntivi.
SpellDescription.SpeedDecrease.MainDescription:		Riduce la velocità del bersaglio del {0}%.
SpellDescription.SpeedDecrease.Rooted:				Il bersaglio è immobilizzato.
SpellDescription.Slow.MainDescription:				Riduce la velocità del bersaglio del {0}%. Non genera immunità e non viene interrotto dai colpi.
SpellDescription.Bladeturn.MainDescription:			Crea una “bolla” che assorbe il danno di un colpo in mischia.
SpellDescription.Demi.MainDescription:				{0} dimezza la salute del nemico.
SpellDescription.Quarter.MainDescription:			{0} riduce la salute del nemico a un quarto.
SpellDescription.DemiQuarter.AmnesiaDescription:	Non influenza creature deboli né bersagli sopra il livello {0}.
SpellDescription.DemiQuarter.EndDescription:		Questa magia raramente colpisce spiriti, demoni, necromanti, banshee e vampiri.
SpellDescription.LifeTransfer.MainDescription:		Trasferisce {0} salute dal lanciatore al suo bersaglio.
SpellDescription.Heal.MainDescription:				Cura {0} salute al bersaglio.
SpellDescription.HealEnemy.MainDescription:			Cura il tuo nemico di {0} salute all'impatto (proc).
SpellDescription.Disease.MainDescription:			Applica una malattia che rallenta del {0}%, riduce la forza del {1}% e inibisce le cure del {2}%.
SpellDescription.Petrify.MainDescription:			Pietrifica il bersaglio trasformandolo in statua. È paralizzato e assorbe il 50% del danno fisico e il 75% del danno magico ricevuto durante gli attacchi.
SpellDescription.Unpetrify.MainDescription:			Rimuove lo stato di “Pietrificato” dal bersaglio.
SpellDescription.HealDebuff.MainDescription:		Riduce l'efficacia delle cure del {0}%. Si cumula con “Malattia”.
SpellDescription.DebuffImmunity.MainDescription:	Conferisce immunità ai debilitamenti e +{0}% probabilità di resistere per {1} s.
SpellDescription.MagicHealAbsorb.MainDescription:	Il prossimo attacco magico contro di te assorbe e converte il {0}% del danno in cura e il {1}% in mana e vigore.
SpellDescription.Trigger.MainDescription:			Applica un effetto magico (proc) come beneficio. {0} si attiva quando il bersaglio viene colpito.
SpellDescription.WaterBreathing.MainDescription:	Permette di respirare sott'acqua e muoversi al {0}% della velocità a terra.
SpellDescription.TensionDebuff.MainDescription:		Riduce gli incrementi di tensione del bersaglio del {1}%.
SpellDescription.TensionBuff.MainDescription:		Aumenta gli incrementi di tensione del bersaglio del {1}%.
SpellDescription.Teleport.MainDescription:			{0} teletrasporta il bersaglio a {1}.
SpellDescription.PlayerPortal.MainDescription:		Apre un portale andata/ritorno monouso collegato al punto di richiamo del suo evocatore. Funziona in {0}.
SpellDescription.Earthquake.MainDescription1:		Crea un terremoto di magnitudo {0} che infligge fino a {1} danni vicino all'epicentro, decrescendo fino a {2} ai margini.
SpellDescription.Earthquake.MainDescription2:		Non colpisce mostri volanti o nuotatori, né banshee o vampiri fluttuanti.
SpellDescription.HoT.MainDescription:				Il bersaglio recupera {0} salute ogni {1} s.
SpellDescription.DDWithDebuff.MainDescription:		Infligge {0} {1} e riduce la resistenza a {1} del bersaglio del {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Aumenta fattore armatura e salute del {0}% finché si resta nel raggio dell'aura.
SpellDescription.AllStatsBuff.MainDescription:		Aumenta tutti gli attributi del bersaglio di {0}.
SpellDescription.PowerDrain.MainDescription:		Infligge {0} {1}; il lanciatore recupera il {2}% del danno come mana.
SpellDescription.RealPowerDrain.MainDescription:	Infligge {0} {1}; il lanciatore recupera il {2}% come mana e il bersaglio perde il {3}% del mana totale.
SpellDescription.PowerLock.MainDescription1:		Blocca te e il tuo bersaglio sul posto, drenando il {0}% del suo mana base ogni {1}s per {2} s.
SpellDescription.PowerLock.MainDescription2:		Durante l'effetto nessuno dei due può subire danni in mischia.
SpellDescription.PowerLock.MainDescription3:		Utilizzabile solo contro giocatori o pet controllati da giocatori.
SpellDescription.Damnation.MainDescription1:		Il bersaglio è dannato, diventa uno zombi e perde gli effetti positivi. Ottiene il {0}% di resistenza al danno in mischia ma morirà inevitabilmente dopo {1} s. Nessuna cura può annullarlo.
SpellDescription.Damnation.MainDescription2:		Le cure sono drasticamente ridotte al {0}%.
SpellDescription.Damnation.MainDescription3:		Le cure non hanno effetto sul dannato.
SpellDescription.Damnation.MainDescription4:		Le cure si trasformano in danno per il {0}%.
SpellDescription.Damnation.MainDescription5:		Non colpisce i non morti.
SpellDescription.MonsterRez.MainDescription:		Resuscita come non morto e ripristina il {0}% di salute e il {1}% di mana e vigore senza perdita di esperienza o costituzione.
SpellDescription.MonsterRez.DamageMain:				Infligge {1} {0} al bersaglio
SpellDescription.MonsterRez.DamageRadius:			e nelle vicinanze
SpellDescription.MonsterRez.DamageFrequency:		ogni {0} s
SpellDescription.MonsterRez.DamageDuration:			per {0} s
SpellDescription.SummonMonster.MainDescription:		Risveglio dal cadavere.
SpellDescription.DamageAdd.MainDescription:			Gli attacchi in mischia del bersaglio infliggono {0} {1} aggiuntivi.
SpellDescription.DamageShield.MainDescription:		Infligge {0} {1} ai nemici che ti colpiscono in mischia.
SpellDescription.SpellReflection.MainDescription1:	Riflette magie con probabilità {0}% al {1}% del danno, assorbendo il {2}% del danno inflitto.
SpellDescription.SpellReflection.MainDescription2:	Non riflette stili in mischia né tiri degli arcieri.
SpellDescription.SpellReflectionDebuff.MainDescription:		Rimuove lo scudo di deviazione magica del bersaglio.
SpellDescription.PowerShield.MainDescription:		Se la tua salute scende sotto il {0}%, converte mana in salute fino a raggiungere il {1}% della vita massima.
SpellDescription.PowerTransfer.MainDescription:		Trasferisce {0} mana dal lanciatore al bersaglio.
SpellDescription.Resurrect.MainDescription:			Resuscita e ripristina il {0}% di salute e il {1}% di mana (e vigore) senza perdita di esperienza o costituzione.
SpellDescription.OffensiveProc.MainDescription:		{0} concede il {1}% di probabilità di attivare una magia secondaria con i tuoi attacchi in mischia:
SpellDescription.DefensiveProc.MainDescription:		{0} concede il {1}% di probabilità di attivare una magia secondaria quando vieni colpito in mischia:
SpellDescription.SpeedEnhancement.MainDescription:	Aumenta la velocità al {0}% di quella normale.
SpellDescription.SpellShield.MainDescription:		{0} assorbe il 100% del danno magico e il 70% del danno nel tempo quando la salute scende al {1}% o meno.
SpellDescription.StyleBleeding.MainDescription:		Il bersaglio subisce {0} {1} ogni {2} s.
SpellDescription.StyleTaunt.Increase:				Provoca il bersaglio e aumenta la tua minaccia di {0}.
SpellDescription.StyleTaunt.Decrease:				Riduce la provocazione e abbassa la tua minaccia di -{0}.
SpellDescription.Taunt.MainDescription:				Provoca il bersaglio e aumenta la tua minaccia di {0}.
SpellDescription.SummonSpell.MainDescription:		Evoca un famiglio al servizio dell'evocatore. Funziona su creature fino al {0}% del tuo livello, massimo {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Conferisce uno scudo temporaneo che assorbe il {0}% del danno fisico fino a un massimo di {1}.
SpellDescription.MagicAblativeArmor.MainDescription:		Conferisce uno scudo temporaneo che assorbe il {0}% del danno magico fino a un massimo di {1}.
SpellDescription.BothAblativeArmor.MainDescription:	Conferisce uno scudo temporaneo che assorbe il {0}% di tutto il danno fino a {1}.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Aumenta la durata di Furia di Battaglia del {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Sei colmo di furia! I tuoi colpi in mischia non mancano contro nemici del tuo livello e difesa e potenza in mischia aumentano notevolmente.
