# SpellHandler (ES)
SpellHandler.CancelEffect:			Desactivas tu efecto.
SpellHandler.PulsingSpellCancelled:		Tu hechizo se ha desactivado.
SpellHandler.PulsingSpellNoMana:		No tienes suficiente maná y tu hechizo se ha desactivado.
SpellHandler.NoMoreMana:			Has gastado todo tu maná y no puedes lanzar más hechizos.
SpellHandler.StopPlayingSong:			Dejas de interpretar tu melodía.
SpellHandler.TooFarStopPlayingSong:		Estás demasiado lejos del objetivo. Dejas de interpretar tu melodía.
SpellHandler.CasterMove:			Te mueves e interrumpes tu lanzamiento.
SpellHandler.BeginCasting:			Empiezas a lanzar un hechizo de {0}.
SpellHandler.BeginPlaying:			Empiezas a tocar {0}.
SpellHandler.SpellInterrupted:			{0} te ataca y tu hechizo es interrumpido.
SpellHandler.DamageImmunity:			{0} es inmune a este efecto.
SpellHandler.Target.TooFast:			{0} se mueve demasiado rápido para que este hechizo tenga efecto.
SpellHandler.DeadCantCast:			Estás muerto y no puedes lanzar hechizos.
SpellHandler.CantCastInSiegeram:			No puedes lanzar hechizos dentro de un ariete.
SpellHandler.SilencedCantCast:			Estás silenciado y no puedes lanzar hechizos por ahora.
SpellHandler.PhaseshiftedCantCast:		Estás bajo "Cambio de Fase" y no puedes lanzar hechizos.
SpellHandler.PhaseshiftedCantBeAffected:	{0} está bajo "Cambio de Fase" y no puede verse afectado por este hechizo.
SpellHandler.OnlyWorksOnDead:			Este hechizo solo funciona sobre miembros caídos de tu reino.
SpellHandler.CantAttackSelf:			No puedes atacarte a ti mismo.
SpellHandler.TargetNotInView:			Tu objetivo no está a la vista.
SpellHandler.TargetNotInViewSpellFail:		Tu objetivo está fuera de tu campo de visión. El hechizo falla.
SpellHandler.TargetNotVisible:			Tu objetivo no es visible.
SpellHandler.TargetInvalid:			El objetivo no es válido.
SpellHandler.MustSelectTarget:			Debes seleccionar un objetivo para este hechizo.
SpellHandler.TargetTooFar:			Ese objetivo está demasiado lejos.
SpellHandler.AreaTargetOutOfRange:		Tu objetivo de área está fuera de alcance. Elige un punto más cercano.
SpellHandler.MustCastOnControlled:		Debes lanzar este hechizo sobre una criatura que controles.
SpellHandler.SpellRequiresConcentration:	Este hechizo requiere {0} puntos de concentración.
SpellHandler.MaxConcentrationSpells:		Solo puedes tener 50 hechizos de concentración activos a la vez.
SpellHandler.WrongInstrument:			No llevas el tipo de instrumento correcto.
SpellHandler.CantCastWhileSitting:		No puedes lanzar hechizos mientras estás sentado.
SpellHandler.CantCastWhileSitting2:		No puedes lanzar este hechizo mientras estás sentado.
SpellHandler.CantCastWhileMoving:		Debes permanecer quieto para lanzar este hechizo.
SpellHandler.CantCastOnDead:			No puedes lanzar este hechizo sobre un muerto.
SpellHandler.MustWaitBeforeUse:			Debes esperar {0} segundos antes de volver a usar este hechizo.
SpellHandler.InteruptWaitBeforeCast:		Has sido interrumpido y debes esperar {0} segundos antes de volver a lanzar hechizos.
SpellHandler.NotEnoughPower:			No tienes suficiente maná para lanzar este hechizo.
SpellHandler.GroundTargetNotInView:		Tu objetivo en el suelo no está a la vista.
SpellHandler.OnlyWorksOnFriendlyTargets:	Este hechizo solo funciona sobre objetivos aliados.
SpellHandler.LostFocusOnSpell:			Pierdes la concentración en tu hechizo {0}.
SpellHandler.InterruptFocus:			Te mueves e interrumpes tu concentración.
SpellHandler.YouResistEffect:			Resistes el efecto.
SpellHandler.TargetResistsEffect:		{0} resiste el efecto.
SpellHandler.PetResistsEffect:			Tu {0} resiste el efecto.
SpellHandler.NoEffectOnKeepComponent:		Tu hechizo no tiene efecto sobre el componente de la fortaleza.
SpellHandler.NoEffectOnTarget:			Tu hechizo no tiene efecto sobre {0}.
SpellHandler.TargetAlreadyMezz:			Tu objetivo ya está afectado por un control mental.
SpellHandler.CantHaveEffectAgainYet:		Aún no puedes recibir de nuevo este efecto.
SpellHandler.AlreadyHaveEffectWait:		Ya tienes este efecto. ¡Espera a que termine! El hechizo ha fallado.
SpellHandler.TargetCantHaveEffectAgainYet:	{0} aún no puede recibir de nuevo este efecto.
SpellHandler.TargetAlreadyHasEffect:		{0} ya tiene este efecto.
SpellHandler.WaitUntilExpires:			Espera a que expire. El hechizo ha fallado.
SpellHandler.TargetImmune:			Tu objetivo es inmune.
SpellHandler.MezIntercepted:			Tu efecto defensivo de objeto intercepta el hechizo de control y se disipa.
SpellHandler.CeremonialBracerInterceptMez:	El Brazalete Ceremonial intercepta tu control.
SpellHandler.StunIntercepted:			Tu efecto defensivo de objeto intercepta el aturdimiento y se disipa.
SpellHandler.YouMiss:				Fallas tu objetivo.
SpellHandler.TargetMissed:			{0} ha fallado su objetivo.
SpellHandler.EngageCannotBeUsed:			{0} fue atacado recientemente y no puedes engancharlo.
SpellHandler.NotEnoughEndurance:			Te concentras en bloquear el golpe.
SpellHandler.MustTargetPlayer:			Debes apuntar a un jugador.
SpellHandler.BuffNoEffectOnVampiir:		Tu mejora no tiene efecto sobre el Vampiir.
SpellHandler.BuffNoEffectOnYou:			Esta mejora no tiene efecto sobre ti.
SpellHandler.AlreadyHasEffect:			Ya tienes este efecto.
SpellHandler.AlreadyHasThisEffect:		{0} ya tiene este efecto.
SpellHandler.TargetIsStealthed:			Este hechizo no puede aplicarse a un objetivo en sigilo.
SpellHandler.DefaultDescription:			{0} tiene un valor de {1} y un daño de {2}.

SpellHandler.CheckLOSYouToPet.NotInView:	Tu mascota no está a la vista.
SpellHandler.CheckLOSPlayerToTarget.LoSInterrupt:	Interrupción de línea de visión en CheckLOSPlayerToTarget
SpellHandler.CheckLOSPlayerToTarget.CantSeeTarget:	No puedes ver tu objetivo desde aquí.
SpellHandler.CheckLOSNPCToTarget.LoSInterrupt:	Interrupción de línea de visión en CheckLOSNPCToTarget

SpellHandler.HitTarget:			Golpeas a {0} por {1}{2} de daño.
SpellHandler.NPCHitTarget:			Tu {0} golpea a {1} por {2}{3} de daño.
SpellHandler.CriticalHit:			Asestas un golpe crítico e infliges {0} de daño adicional.
SpellHandler.TargetPronoun.Your:		Tu
SpellHandler.TargetPronoun.Targets:		El objetivo

SpellHandler.MustBeStealthedBow:		Debes estar en sigilo y portar un arco para usar esta habilidad.
SpellHandler.MustWieldBow:			Debes portar un arco para usar esta habilidad.
SpellHandler.Archery.Prepare:			Preparas un {0}.
SpellHandler.Archery.DisarmedCantCast:		No puedes lanzar hechizos porque estás desarmado.
SpellHandler.ChamberSpell.YouInvulnerable:	Ahora mismo eres invulnerable y no puedes lanzar este hechizo.
SpellHandler.ChamberSpell.TargetInvulnerable:	Tu objetivo es invulnerable por ahora y no puede ser atacado.
SpellHandler.SiegeArrow.InvalidTarget:		Debes fijar como objetivo un componente de fortaleza para este hechizo.
SpellHandler.SiegeArrow.InvalidComponentTarget:	Tu objetivo debe ser un componente de fortaleza.
SpellHandler.SiegeArrow.PrepareSpell:		Preparas {0}.
SpellHandler.BumpSpell.TargetHurled:		{0} es lanzado por los aires.
SpellHandler.DualStatBuff.AlreadyHasEffect:	Tu objetivo ya tiene un efecto de este tipo.

SpellHandler.Convoker.AreaTargetOutOfRange:	Tu objetivo de área está fuera de alcance. Elige un punto en el suelo más cercano.
SpellHandler.Convoker.AreaTargetNotInView:	Tu objetivo de área no está a la vista.
SpellHandler.Convoker.MustSetGroundTarget:	Debes fijar un objetivo en el suelo.

SpellHandler.IchorOfTheDeep.NoTarget:		Necesitas un objetivo para esta habilidad.
SpellHandler.IchorOfTheDeep.TargetTooFar:	{0} está demasiado lejos.
SpellHandler.IchorOfTheDeep.AlreadyCasting:	Ya estás usando esta habilidad.
SpellHandler.IchorOfTheDeep.CastMessage:	Lanzas {0}.
SpellHandler.IchorOfTheDeep.AreaCastMessage:	{0} lanza un hechizo.
SpellHandler.IchorOfTheDeep.HitMob:		Golpeas a {0} por {1} de daño.
SpellHandler.IchorOfTheDeep.HitPlayer:		Golpeas a {0} por {1} de daño.

SpellHandler.OmniHeal.SelfHealed:		Recuperas {0} puntos de aguante y {1} puntos de maná.
SpellHandler.OmniHeal.TargetHealed:		Curas a {0} por {1} puntos de aguante y {2} puntos de maná.
SpellHandler.OmniHeal.YouAreHealed:		{0} te cura por {1} puntos de aguante y {2} puntos de maná.
SpellHandler.OmniHarm.InflictLossesToTarget:	También infliges a {2} una pérdida de {0} de aguante y {1} de maná.
SpellHandler.OmniHarm.InflictLossesToYou:		{0} te inflige una pérdida de {1} de aguante y {2} de maná.

SpellHandler.HealSpell.TargetDead:		{0} está muerto.
SpellHandler.HealSpell.NoHelp:			Este jugador no desea ayuda.
SpellHandler.HealSpell.FullyHealedSelf:		Estás completamente curado.
SpellHandler.HealSpell.FullyHealedTarget:	{0} está completamente curado.
SpellHandler.HealSpell.RealmPointsGained:	Ganas {0} puntos de reino por curar a un miembro de tu reino.
SpellHandler.HealSpell.SelfHealed:		Te curas {0} puntos de vida.
SpellHandler.HealSpell.TargetSelfHealed:	{0} se cura {1} puntos de vida.
SpellHandler.HealSpell.TargetHealed:		Curas a {0} por {1} puntos de vida.
SpellHandler.HealSpell.TargetDamageToHeal:		Curas a {0} por {1} puntos de vida en lugar de infligir daño debido a su escudo mágico.
SpellHandler.HealSpell.YouAreHealed:		{0} te cura por {1} puntos de vida.
SpellHandler.HealSpell.CriticalHeal:		Realizas una curación crítica y restauras {0} puntos de vida adicionales.
