# DelveInfo
DelveInfo.CastingTime:          Spreektijd: {0}
DelveInfo.ConcentrationCost:    Concentratiekost: {0}
DelveInfo.Damage:               Schade: {0}
DelveInfo.DamageType:           Schadetype: {0}
DelveInfo.Duration:             Duur: 
DelveInfo.Focus:                Kanaalspreuk. Wordt onderbroken bij de eerste actie.
DelveInfo.Frequency:            Frequentie: {0}
DelveInfo.HealthReturned:       Gezondheid terug: {0}% van de toegebrachte schade
DelveInfo.InstrumentRequire:    Vereist instrument: {0}
DelveInfo.PowerCost:            Manakosten: {0}
DelveInfo.HealthCost:           Gezondheidskost: {0}
DelveInfo.Radius:               Straal: {0}
DelveInfo.Range:                Bereik: {0}
DelveInfo.RangeModified:	    Bereik: {0} {1}
DelveInfo.RecastTime:           Herlaadtijd: 
DelveInfo.Target:               Doelwit: {0}
DelveInfo.Value:                Waarde: {0}
DelveInfo.ValueNegative:        Waarde: -{0}
DelveInfo.Destination:		    Bestemming: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Brengt {0} {1} toe aan het doelwit.
SpellDescription.DoT.MainDescription:				Het doelwit lijdt {0} {1} elke {2} s.
SpellDescription.BoltSpell.MainDescription:			Een magische pijl treft en ontploft voor {0} {1}. Kan geblokkeerd worden.
SpellDescription.LifeDrain.MainDescription:			Brengt {0} {1} toe en heelt de spreker met {2}% van de schade.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Brengt {0} {1} toe en verlaagt {2} van het doelwit met {3}%.
SpellDescription.Nearsight.MainDescription1:		Verlaagt het effectieve bereik van afstandsaanvallen van het doelwit met {0}%.
SpellDescription.Nearsight.MainDescription2:		Nabijzicht‑spreuken die de groep van de spreker treffen werken met {0}% minder doeltreffendheid of kunnen volledig worden weerstaan.
SpellDescription.SpreadHeal.MainDescription:		Genezing over gebied voor {0}.
SpellDescription.RegenHeal.MainDescription:			Het doelwit regenereert {0} extra gezondheidspunten.
SpellDescription.RegenPower.MainDescription:		Het doelwit regenereert {0} extra manapunten.
SpellDescription.RegenEndu.MainDescription:			Het doelwit regenereert {0} extra uithoudingspunten.
SpellDescription.SpeedDecrease.MainDescription:		Verlaagt de snelheid van het doelwit met {0}%.
SpellDescription.SpeedDecrease.Rooted:				Het doelwit is geworteld.
SpellDescription.Slow.MainDescription:				Verlaagt de snelheid van het doelwit met {0}%. Veroorzaakt geen immuniteit en wordt niet onderbroken door treffers.
SpellDescription.Bladeturn.MainDescription:			Creëert een “bubbel” die de schade van één melee‑treffer absorbeert.
SpellDescription.Demi.MainDescription:				{0} halveert de gezondheid van de vijand.
SpellDescription.Quarter.MainDescription:			{0} reduceert de gezondheid van de vijand tot een kwart.
SpellDescription.DemiQuarter.AmnesiaDescription:	Raakt geen zwakke wezens en geen doelen boven niveau {0}.
SpellDescription.DemiQuarter.EndDescription:		Deze spreuk treft zelden geesten, demonen, necromancers, banshees en vampiers.
SpellDescription.LifeTransfer.MainDescription:		Verplaatst {0} gezondheid van de spreker naar het doelwit.
SpellDescription.Heal.MainDescription:				Heelt {0} gezondheid bij het doelwit.
SpellDescription.HealEnemy.MainDescription:			Heelt je vijand voor {0} gezondheid bij treffer (proc).
SpellDescription.Disease.MainDescription:			Brengt een ziekte aan die {0}% vertraagt, kracht met {1}% verlaagt en genezingen met {2}% remt.
SpellDescription.Petrify.MainDescription:			Versteent het doelwit en maakt er een standbeeld van. Het is verlamd en absorbeert 50% fysieke en 75% magische schade terwijl het wordt aangevallen.
SpellDescription.Unpetrify.MainDescription:			Heelt de toestand “Versteend” van het doelwit.
SpellDescription.HealDebuff.MainDescription:		Verlaagt de effectiviteit van genezingen met {0}%. Stapelt met “Ziekte”.
SpellDescription.DebuffImmunity.MainDescription:	Verleent immuniteit tegen verzwakkingen en +{0}% weersta‑kans gedurende {1} s.
SpellDescription.MagicHealAbsorb.MainDescription:	De volgende magische aanval tegen jou absorbeert en zet {0}% van de schade om in genezing en {1}% in mana en uithouding.
SpellDescription.Trigger.MainDescription:			Brengt een magisch effect (proc) als buff aan. {0} triggert wanneer het doelwit geraakt wordt.
SpellDescription.WaterBreathing.MainDescription:	Maakt onderwater ademen mogelijk en bewegen met {0}% van de loopsnelheid.
SpellDescription.TensionDebuff.MainDescription:		Verlaagt de spanningsopbouw van het doelwit met {1}%.
SpellDescription.TensionBuff.MainDescription:		Verhoogt de spanningsopbouw van het doelwit met {1}%.
SpellDescription.Teleport.MainDescription:			{0} teleporteert het doelwit naar {1}.
SpellDescription.PlayerPortal.MainDescription:		Opent een eenmalige heen‑en‑terug‑poort gekoppeld aan het terugkeerpunt van de oproeper. Werkt in {0}.
SpellDescription.Earthquake.MainDescription1:		Creëert een aardbeving van magnitude {0} die tot {1} schade veroorzaakt nabij het epicentrum, aflopend tot {2} aan de randen.
SpellDescription.Earthquake.MainDescription2:		Raakt geen vliegende of zwemmende monsters, noch zwevende banshees of vampiers.
SpellDescription.HoT.MainDescription:				Het doelwit herstelt {0} gezondheid elke {1} s.
SpellDescription.DDWithDebuff.MainDescription:		Brengt {0} {1} toe en verlaagt de weerstand tegen {1} van het doelwit met {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Verhoogt pantserscore en gezondheid met {0}% zolang je binnen de aurastraal blijft.
SpellDescription.AllStatsBuff.MainDescription:		Verhoogt alle attributen van het doelwit met {0}.
SpellDescription.PowerDrain.MainDescription:		Brengt {0} {1} toe; de spreker krijgt {2}% van de schade terug als mana.
SpellDescription.RealPowerDrain.MainDescription:	Brengt {0} {1} toe; de spreker krijgt {2}% terug als mana en het doelwit verliest {3}% van zijn totale mana.
SpellDescription.PowerLock.MainDescription1:		Zet jou en je doelwit vast op de plek en draineert {0}% van zijn basismana elke {1}s gedurende {2} s.
SpellDescription.PowerLock.MainDescription2:		Tijdens het effect kan geen van beiden melee‑schade ontvangen.
SpellDescription.PowerLock.MainDescription3:		Alleen te gebruiken tegen spelers of door spelers bestuurde pets.
SpellDescription.Damnation.MainDescription1:		Het doelwit is verdoemd, wordt een zombie en verliest positieve effecten. Krijgt {0}% weerstand tegen melee‑schade maar zal onherroepelijk sterven na {1} s. Geen enkele genezing draait dit terug.
SpellDescription.Damnation.MainDescription2:		Genezingen worden drastisch verlaagd tot {0}%.
SpellDescription.Damnation.MainDescription3:		Genezingen hebben geen effect op de verdoemde.
SpellDescription.Damnation.MainDescription4:		Genezingen veranderen voor {0}% in schade.
SpellDescription.Damnation.MainDescription5:		Raakt geen ondoden.
SpellDescription.MonsterRez.MainDescription:		Verreist als ondode en herstelt {0}% gezondheid en {1}% mana en uithouding zonder verlies van ervaring of constitutie.
SpellDescription.MonsterRez.DamageMain:				Brengt {1} {0} toe aan het doelwit
SpellDescription.MonsterRez.DamageRadius:			en de omgeving
SpellDescription.MonsterRez.DamageFrequency:		elke {0} s
