# HOUSING (RO)
House.DBHousePermissions.AccessLevel:			Nivel de acces {0}
House.Edit.NotEnoughMoney:				Nu aveți destui bani pentru a face asta!
House.Edit.PayForChanges:				Plătiți {0} pentru modificări.
House.Enter.EnteredHouse:				Ați intrat în casa numărul {0}.
House.Exit.LeftHouse:					Ați părăsit casa numărul {0}.
House.SendHouseInfo.DoorMaterial:			-Ușă: {0}	
House.SendHouseInfo.ExteriorMaterials:			Materiale exterioare:
House.SendHouseInfo.ExteriorUpgrades:			Îmbunătățiri exterioare:	
House.SendHouseInfo.HouseOwner:				Casa lui {0}
House.SendHouseInfo.IndoorGuildBanner:			-Bannere: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Scuturi: {0}	
House.SendHouseInfo.InteriorCarpets:			Covoare de interior:	
House.SendHouseInfo.InteriorUpgrades:			Adăugiri de interior:	
House.SendHouseInfo.Level:					Nivel: {0}
House.SendHouseInfo.Lockbox:					Lada de valori: {0}
House.SendHouseInfo.Lotnum:					Numărul lotului: {0}
House.SendHouseInfo.MaxLockbox:				Capacitate maximă în ladă: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Bannere: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Scuturi: {0}	
House.SendHouseInfo.Owner:					Proprietar: {0}
House.SendHouseInfo.Owners:					Proprietari:
House.SendHouseInfo.Porch:					Pridvor:
House.SendHouseInfo.PorchEnabled:				-Disponibil: {0}	
House.SendHouseInfo.PorchMaterial:				-Pridvor: {0}	
House.SendHouseInfo.PorchRoofColor:				-Culoare: {0}	
House.SendHouseInfo.RentalPrice:				Chirie: {0}	
House.SendHouseInfo.RentDueIn:				Data plății: {0} zile, {1} ore
House.SendHouseInfo.RoofMaterial:				-Acoperiș: {0}	
House.SendHouseInfo.Rug1Color:					-Culoarea 1: {0}
House.SendHouseInfo.Rug2Color:					-Culoarea 2: {0}
House.SendHouseInfo.Rug3Color:					-Culoarea 3: {0}
House.SendHouseInfo.Rug4Color:					-Culoarea 4: {0}
House.SendHouseInfo.TrussMaterial:				-Susținere: {0}	
House.SendHouseInfo.WallMaterial:				-Pereți: {0}	
House.SendHouseInfo.WindowMaterial:				-Obloane: {0}	

HouseEnterLeave.TooFarAway:					Sunteți prea departe pentru a intra în casa {0}.
HouseEnterLeave.CantEnter:					Nu puteți intra în casa {0}.

HousingDecorationRotate.Rotated:			Obiectul de interior a fost rotit de la {0} grade la {1} grade.

# /HousingPlaceItemHandler
HousingPickupItemHandler.GardenRemoved:			Obiect de grădină îndepărtat.
HousingPickupItemHandler.PickUp:				Puneți {0} în inventarul dumneavoastră.
HousingPlaceItemHandler.30objects:				Ați plasat deja 30 de obiecte. Nu mai puteți plasa altele.
HousingPlaceItemHandler.40objects:				Ați plasat deja 40 de obiecte. Nu mai puteți plasa altele.
HousingPlaceItemHandler.CantFloor:				Acest obiect nu poate fi plasat pe podea!
HousingPlaceItemHandler.CantWall:				Acest obiect nu poate fi plasat pe un perete!
HousingPlaceItemHandler.DropOnFloor:				Lăsați obiectul {0} pe podeaua casei dumneavoastră.
HousingPlaceItemHandler.DropOnGarden:				Lăsați obiectul {0} în grădina dumneavoastră.
HousingPlaceItemHandler.DropOnWall:				Lăsați obiectul {0} pe peretele casei dumneavoastră.
HousingPlaceItemHandler.GardenObjectPlaced:			Obiect de grădină plasat. {0} locuri rămase.
HousingPlaceItemHandler.HasPorch:				Această casă are deja un pridvor!
HousingPlaceItemHandler.HasNoPorch:				Această casă nu are pridvor!
HousingPlaceItemHandler.IndoorObjectPlaced:			Obiect de interior plasat. {0} locuri rămase.
HousingPlaceItemHandler.NoHookpoint:				Nu mai există punct de ancorare!
HousingPlaceItemHandler.PutMoney:				Depuneți bani în contul casei dumneavoastră.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				Țintiți terenul numărul {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Este disponibil pentru cumpărare la {0}.
Housing.LotMarker.ItIsOwnedBy:					Această parcelă aparține lui {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			Deja dețineți o casă!
Housing.LotMarker.DoYouWantToBuyThisLot1:			Doriți să cumpărați acest teren?
Housing.LotMarker.DoYouWantToBuyThisLot2:			Costul este {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				Nu sunteți proprietarul acestei parcele!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Dețineți deja un teren sau o casă (Numărul {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Tocmai ați cumpărat acest teren pentru {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			Fonduri insuficiente!
Housing.LotMarker.ThisItemCantBeSold:				Acest obiect nu poate fi vândut.

