# DelveInfo
DelveInfo.CastingTime:          Timp de incantare: {0}
DelveInfo.ConcentrationCost:    Cost de concentrare: {0}
DelveInfo.Damage:               Daune: {0}
DelveInfo.DamageType:           Tip de daune: {0}
DelveInfo.Duration:             Durata: 
DelveInfo.Focus:                Vrăjire canalizată. Se întrerupe la prima acțiune.
DelveInfo.Frequency:            Frecvență: {0}
DelveInfo.HealthReturned:       Viață returnată: {0}% din daunele provocate
DelveInfo.InstrumentRequire:    Instrument necesar: {0}
DelveInfo.PowerCost:            Cost de mană: {0}
DelveInfo.HealthCost:           Cost de viață: {0}
DelveInfo.Radius:               Rază: {0}
DelveInfo.Range:                Distanță: {0}
DelveInfo.RangeModified:	    Distanță: {0} {1}
DelveInfo.RecastTime:           Reîncărcare: 
DelveInfo.Target:               Țintă: {0}
DelveInfo.Value:                Valoare: {0}
DelveInfo.ValueNegative:        Valoare: -{0}
DelveInfo.Destination:		    Destinație: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Provoacă {0} {1} țintei.
SpellDescription.DoT.MainDescription:				Ținta suferă {0} {1} la fiecare {2} s.
SpellDescription.BoltSpell.MainDescription:			Un bolt magic lovește și explodează pentru {0} {1}. Poate fi blocat.
SpellDescription.LifeDrain.MainDescription:			Provoacă {0} {1} și vindecă incantatorul cu {2}% din daune.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Provoacă {0} {1} și reduce {2} țintei cu {3}%.
SpellDescription.Nearsight.MainDescription1:		Reduce raza efectivă a atacurilor la distanță ale țintei cu {0}%.
SpellDescription.Nearsight.MainDescription2:		Vrăjile de miopie care afectează grupul incantatorului funcționează cu {0}% eficiență mai mică sau pot fi complet rezistate.
SpellDescription.SpreadHeal.MainDescription:		Vindecare de zonă pentru {0}.
SpellDescription.RegenHeal.MainDescription:			Ținta regenerează {0} puncte de viață suplimentare.
SpellDescription.RegenPower.MainDescription:		Ținta regenerează {0} puncte de mană suplimentare.
SpellDescription.RegenEndu.MainDescription:			Ținta regenerează {0} puncte de anduranță suplimentare.
SpellDescription.SpeedDecrease.MainDescription:		Scade viteza țintei cu {0}%.
SpellDescription.SpeedDecrease.Rooted:				Ținta este înrădăcinată.
SpellDescription.Slow.MainDescription:				Scade viteza țintei cu {0}%. Nu generează imunitate și nu se întrerupe la lovituri.
SpellDescription.Bladeturn.MainDescription:			Creează o „bulă” care absoarbe daunele unei lovituri corp-la-corp.
SpellDescription.Demi.MainDescription:				{0} înjumătățește viața inamicului.
SpellDescription.Quarter.MainDescription:			{0} reduce viața inamicului la un sfert.
SpellDescription.DemiQuarter.AmnesiaDescription:	Nu afectează creaturi slabe și ținte peste nivelul {0}.
SpellDescription.DemiQuarter.EndDescription:		Această vrajă rareori afectează spirite, demoni, necromanți, banshee și vampiri.
SpellDescription.LifeTransfer.MainDescription:		Transferă {0} viață de la incantator la țintă.
SpellDescription.Heal.MainDescription:				Vindecă ținta cu {0} viață.
SpellDescription.HealEnemy.MainDescription:			Vindecă inamicul cu {0} viață la lovitură (proc).
SpellDescription.Disease.MainDescription:			Aplică o boală care încetinește cu {0}%, reduce forța cu {1}% și slăbește vindecările cu {2}%.
SpellDescription.Petrify.MainDescription:			Pietrifică ținta, transformând-o în statuie. Este paralizată și absoarbe 50% daune fizice și 75% magice în timp ce este atacată.
SpellDescription.Unpetrify.MainDescription:			Înlătură starea „Pietrificat” de pe țintă.
SpellDescription.HealDebuff.MainDescription:		Reduce eficiența vindecărilor cu {0}%. Se cumulează cu „Boală”.
SpellDescription.DebuffImmunity.MainDescription:	Acordă imunitate la debuff-uri și +{0}% șansă de rezist timp de {1} s.
SpellDescription.MagicHealAbsorb.MainDescription:	Următorul atac magic împotriva ta absoarbe și convertește {0}% din daune în vindecare și {1}% în mană și anduranță.
SpellDescription.Trigger.MainDescription:			Aplică un efect magic (proc) ca buff. {0} se declanșează când ținta este lovită.
SpellDescription.WaterBreathing.MainDescription:	Permite respirația sub apă și mișcarea la {0}% din viteza de mers.
SpellDescription.TensionDebuff.MainDescription:		Scade acumularea de tensiune a țintei cu {1}%.
SpellDescription.TensionBuff.MainDescription:		Creste acumularea de tensiune a țintei cu {1}%.
SpellDescription.Teleport.MainDescription:			{0} teleportează ținta la {1}.
SpellDescription.PlayerPortal.MainDescription:		Deschide un portal dus-întors de unică folosință legat de punctul de întoarcere al invocatorului. Funcționează în {0}.
SpellDescription.Earthquake.MainDescription1:		Generează un cutremur de magnitudinea {0} care provoacă până la {1} daune lângă epicentru, scăzând la {2} la margini.
SpellDescription.Earthquake.MainDescription2:		Nu afectează monștri zburători sau înotători, nici banshee sau vampiri levitanți.
