# SpellHandler (RO)
SpellHandler.CancelEffect:			Îți dezactivezi efectul.
SpellHandler.PulsingSpellCancelled:		Vrăja ta a fost dezactivată.
SpellHandler.PulsingSpellNoMana:		Nu ai suficientă mană și vraja ta a fost dezactivată.
SpellHandler.NoMoreMana:			Ți-ai consumat toată mana și nu mai poți arunca vrăji!
SpellHandler.StopPlayingSong:			Te oprești din a-ți interpreta melodia.
SpellHandler.TooFarStopPlayingSong:		Ești prea departe de țintă. Te oprești din a-ți interpreta melodia.
SpellHandler.CasterMove:			Te miști și îți întrerupi incantația!
SpellHandler.BeginCasting:			Începi să arunci o vrajă de {0}!
SpellHandler.BeginPlaying:			Începi să cânți {0}!
SpellHandler.SpellInterrupted:			{0} te atacă și vraja îți este întreruptă!
SpellHandler.DamageImmunity:			{0} este imun la acest efect!
SpellHandler.Target.TooFast:			{0} se mișcă prea repede pentru ca această vrajă să aibă efect!
SpellHandler.DeadCantCast:			Ești mort și nu poți arunca vrăji!
SpellHandler.CantCastInSiegeram:			Nu poți arunca vrăji într-un berbec de asediu!
SpellHandler.SilencedCantCast:			Ești redus la tăcere și momentan nu poți arunca vrăji.
SpellHandler.PhaseshiftedCantCast:		Ești sub efectul „Deplasare de fază” și nu poți arunca vrăji.
SpellHandler.PhaseshiftedCantBeAffected:	{0} este sub efectul „Deplasare de fază” și nu poate fi afectat de această vrajă!
SpellHandler.OnlyWorksOnDead:			Această vrajă funcționează doar pe membrii căzuți ai regatului tău!
SpellHandler.CantAttackSelf:			Nu te poți ataca pe tine însuți!
SpellHandler.TargetNotInView:			Ținta ta nu este în câmpul vizual!
SpellHandler.TargetNotInViewSpellFail:		Ținta se află în afara câmpului tău vizual. Vraja eșuează!
SpellHandler.TargetNotVisible:			Ținta ta nu este vizibilă!
SpellHandler.TargetInvalid:			Țintă invalidă.
SpellHandler.MustSelectTarget:			Trebuie să selectezi o țintă pentru această vrajă!
SpellHandler.TargetTooFar:			Acea țintă este prea departe!
SpellHandler.AreaTargetOutOfRange:		Ținta de zonă este în afara razei. Alege un punct mai apropiat.
SpellHandler.MustCastOnControlled:		Trebuie să arunci această vrajă pe o creatură aflată sub controlul tău.
