# DelveInfo
DelveInfo.CastingTime:          Thời gian niệm: {0}
DelveInfo.ConcentrationCost:    Chi phí tập trung: {0}
DelveInfo.Damage:               Sát thương: {0}
DelveInfo.DamageType:           Loại sát thương: {0}
DelveInfo.Duration:             Thời lượng: 
DelveInfo.Focus:                Phép kênh. Bị gián đoạn ở hành động đầu tiên.
DelveInfo.Frequency:            Tần suất: {0}
DelveInfo.HealthReturned:       Máu hoàn lại: {0}% sát thương gây ra
DelveInfo.InstrumentRequire:    Cần nhạc cụ: {0}
DelveInfo.PowerCost:            Chi phí mana: {0}
DelveInfo.HealthCost:           Chi phí máu: {0}
DelveInfo.Radius:               Bán kính: {0}
DelveInfo.Range:                Tầm: {0}
DelveInfo.RangeModified:	    Tầm: {0} {1}
DelveInfo.RecastTime:           Thời gian hồi: 
DelveInfo.Target:               Mục tiêu: {0}
DelveInfo.Value:                Giá trị: {0}
DelveInfo.ValueNegative:        Giá trị: -{0}
DelveInfo.Destination:		    Đích đến: {0}

# Spell ShortDescriptions
SpellDescription.DirectDamage.MainDescription:		Gây {0} {1} lên mục tiêu.
SpellDescription.DoT.MainDescription:				Mục tiêu chịu {0} {1} mỗi {2} giây.
SpellDescription.BoltSpell.MainDescription:			Tia phép đánh trúng và phát nổ gây {0} {1}. Có thể bị đỡ chắn.
SpellDescription.LifeDrain.MainDescription:			Gây {0} {1} và hồi cho người niệm {2}% sát thương gây ra.
SpellDescription.DirectDamageWithDebuff.MainDescription:	Gây {0} {1} và giảm {2} của mục tiêu {3}%.
SpellDescription.Nearsight.MainDescription1:		Giảm tầm hiệu dụng của các đòn tấn công tầm xa của mục tiêu {0}%.
SpellDescription.Nearsight.MainDescription2:		Các phép cận thị trúng nhóm của người niệm hoạt động kém hiệu quả hơn {0}% hoặc có thể bị kháng hoàn toàn.
SpellDescription.SpreadHeal.MainDescription:		Hồi máu diện rộng {0}.
SpellDescription.RegenHeal.MainDescription:			Mục tiêu hồi thêm {0} máu.
SpellDescription.RegenPower.MainDescription:		Mục tiêu hồi thêm {0} mana.
SpellDescription.RegenEndu.MainDescription:			Mục tiêu hồi thêm {0} thể lực.
SpellDescription.SpeedDecrease.MainDescription:		Giảm tốc độ mục tiêu {0}%.
SpellDescription.SpeedDecrease.Rooted:				Mục tiêu bị trói chân.
SpellDescription.Slow.MainDescription:				Giảm tốc độ mục tiêu {0}%. Không tạo miễn dịch và không bị ngắt khi bị đánh.
SpellDescription.Bladeturn.MainDescription:			Tạo “bong bóng” hấp thụ sát thương của một đòn cận chiến.
SpellDescription.Demi.MainDescription:				{0} giảm một nửa máu kẻ địch.
SpellDescription.Quarter.MainDescription:			{0} giảm máu kẻ địch xuống còn một phần tư.
SpellDescription.DemiQuarter.AmnesiaDescription:	Không ảnh hưởng sinh vật yếu và mục tiêu trên cấp {0}.
SpellDescription.DemiQuarter.EndDescription:		Hiếm khi ảnh hưởng tới linh hồn, ác quỷ, pháp sư gọi hồn, banshee và ma cà rồng.
SpellDescription.LifeTransfer.MainDescription:		Chuyển {0} máu từ người niệm sang mục tiêu.
SpellDescription.Heal.MainDescription:				Hồi {0} máu cho mục tiêu.
SpellDescription.HealEnemy.MainDescription:			Hồi {0} máu cho kẻ địch khi trúng (proc).
SpellDescription.Disease.MainDescription:			Gây Bệnh: làm chậm {0}%, giảm Sức mạnh {1}% và giảm hiệu quả hồi máu {2}%.
SpellDescription.Petrify.MainDescription:			Hóa đá mục tiêu, biến thành tượng. Bị tê liệt và hấp thụ 50% sát thương vật lý, 75% sát thương phép khi bị tấn công.
SpellDescription.Unpetrify.MainDescription:			Xóa trạng thái “Hóa đá” khỏi mục tiêu.
SpellDescription.HealDebuff.MainDescription:		Giảm hiệu quả hồi máu {0}%. Cộng dồn với “Bệnh”.
SpellDescription.DebuffImmunity.MainDescription:	Cho miễn nhiễm suy yếu và +{0}% cơ hội kháng trong {1} giây.
SpellDescription.MagicHealAbsorb.MainDescription:	Đòn phép kế tiếp vào bạn sẽ bị hấp thụ và chuyển {0}% thành hồi máu và {1}% thành mana và thể lực.
SpellDescription.Trigger.MainDescription:			Áp một hiệu ứng phép (proc) như cường hóa. {0} kích hoạt khi mục tiêu bị đánh.
SpellDescription.WaterBreathing.MainDescription:	Cho phép thở dưới nước và di chuyển ở {0}% tốc độ trên cạn.
SpellDescription.TensionDebuff.MainDescription:		Giảm tốc độ tích tụ căng thẳng của mục tiêu {1}%.
